# data from ifeffit
#------------------------
#   energy    j0        j         xmu
  7350.6717        159161.00        62734.100       0.93101111
  7352.7060        158778.00        62832.100       0.92704091
  7354.7416        158476.00        62957.100       0.92314962
  7356.7785        158191.00        63059.100       0.91973078
  7358.8166        157839.00        63126.100       0.91644121
  7360.8560        157554.00        63205.100       0.91338326
  7362.8967        157163.00        63208.100       0.91085103
  7364.9386        156860.00        63241.100       0.90839928
  7366.9818        156423.00        63224.100       0.90587832
  7369.0263        156012.00        63226.100       0.90321574
  7371.0720        155300.00        63111.100       0.90046206
  7373.1191        154811.00        63000.100       0.89906870
  7375.1673        154795.00        63024.100       0.89858447
  7377.2169        155035.00        63299.100       0.89577979
  7379.2677        155002.00        63521.100       0.89206589
  7381.3198        154643.00        63556.100       0.88919625
  7383.3732        154095.00        63510.100       0.88637035
  7385.4279        153665.00        63470.100       0.88420598
  7387.4838        153414.00        63476.100       0.88247669
  7389.5410        153187.00        63534.100       0.88008263
  7391.5995        152953.00        63573.100       0.87794026
  7393.6593        152665.00        63602.100       0.87559949
  7395.7204        152262.00        63570.100       0.87345949
  7397.7827        151963.00        63585.100       0.87125790
  7399.8464        151636.00        63620.100       0.86855345
  7401.9113        151305.00        63649.100       0.86591248
  7403.9775        151033.00        63715.100       0.86307677
  7406.0450        150669.00        63760.100       0.85995777
  7408.1138        150405.00        63857.100       0.85668388
  7410.1839        150047.00        63921.100       0.85329907
  7412.2553        149697.00        63990.100       0.84988487
  7415.9335        149165.00        64143.100       0.84393655
  7419.6158        148597.00        64300.100       0.83767676
  7423.3021        148054.00        64463.100       0.83148411
  7426.9926        147475.00        64630.100       0.82497842
  7430.6872        146909.00        64745.100       0.81935533
  7434.3859        146356.00        64881.100       0.81348565
  7438.0886        145794.00        64980.100       0.80811360
  7441.7955        145228.00        65056.100       0.80305495
  7445.5066        144626.00        65100.100       0.79822501
  7449.2217        144101.00        65172.100       0.79348298
  7452.9410        143547.00        65206.100       0.78910948
