# data: k, chik, win, fit_k, fit_chik, path1, path2
#------------------------
#   k         chik       win       k         chik      chik
  13.500000      -0.33140559E-01   0.41508368        13.500000       0.57148110E-03   -1.4994285
  13.550000      -0.36089497E-01   0.40763039        13.550000      -0.43137630E-03   -1.5004314
  13.600000      -0.23168939E-01   0.40019494        13.600000      -0.13486159E-02   -1.5013486
  13.650000      -0.30001237E-01   0.39277880        13.650000      -0.21545714E-02   -1.5021546
  13.700000      -0.36938372E-01   0.38538345        13.700000      -0.28292655E-02   -1.5028293
  13.750000      -0.18948447E-01   0.37801034        13.750000      -0.33587225E-02   -1.5033587
  13.800000      -0.29067718E-01   0.37066092        13.800000      -0.37350441E-02   -1.5037350
  13.850000      -0.37850734E-01   0.36333661        13.850000      -0.39562617E-02   -1.5039563
  13.900000      -0.31803649E-01   0.35603883        13.900000      -0.40259869E-02   -1.5040260
  13.950000      -0.22137451E-01   0.34876899        13.950000      -0.39528857E-02   -1.5039529
  14.000000       0.11399567E-02   0.34152847        14.000000      -0.37604348E-02   -1.5037604
  14.050000       0.13724417E-02   0.33431867        14.050000      -0.34545551E-02   -1.5034546
  14.100000      -0.29110444E-01   0.32714093        14.100000      -0.30477198E-02   -1.5030477
  14.150000      -0.22399728E-01   0.31999661        14.150000      -0.25610466E-02   -1.5025610
  14.200000      -0.62591570E-02   0.31288704        14.200000      -0.20171135E-02   -1.5020171
  14.250000      -0.14559643E-01   0.30581353        14.250000      -0.14390472E-02   -1.5014390
  14.300000      -0.37271572E-01   0.29877740        14.300000      -0.84965153E-03   -1.5008497
  14.350000      -0.28454692E-01   0.29177993        14.350000      -0.27060496E-03   -1.5002706
  14.400000      -0.19361700E-01   0.28482238        14.400000       0.27824737E-03   -1.4997218
  14.450000      -0.49749772E-02   0.27790601        14.450000       0.77948771E-03   -1.4992205
  14.500000       0.30564452E-02   0.27103206        14.500000       0.12185914E-02   -1.4987814
  14.550000      -0.23595038E-01   0.26420175        14.550000       0.15842558E-02   -1.4984157
  14.600000      -0.11462933E-01   0.25741627        14.600000       0.18685888E-02   -1.4981314
  14.650000       0.11557778E-02   0.25067681        14.650000       0.20671611E-02   -1.4979328
  14.700000       0.43747399E-02   0.24398455        14.700000       0.21789273E-02   -1.4978211
  14.750000       0.96326188E-01   0.23734061        14.750000       0.22060296E-02   -1.4977940
  14.800000       0.60638646E-01   0.23074614        14.800000       0.21534983E-02   -1.4978465
  14.850000       0.20615949E-01   0.22420223        14.850000       0.20288675E-02   -1.4979711
  14.900000       0.38841418E-01   0.21770999        14.900000       0.18417263E-02   -1.4981583
  14.950000       0.27369868E-02   0.21127048        14.950000       0.16032258E-02   -1.4983968
  15.000000       0.29686847E-01    0.0000000        15.000000       0.13256847E-02   -1.4986743
  15.050000       0.49925921E-01    0.0000000        15.050000       0.10195190E-02   -1.4989805
  15.100000       0.44704553E-01    0.0000000        15.100000       0.69722750E-03   -1.4993028
  15.150000       0.51061056E-01    0.0000000        15.150000       0.37165674E-03   -1.4996283
  15.200000       0.43349483E-01    0.0000000        15.200000       0.54906000E-04   -1.4999451
  15.250000       0.38513945E-01    0.0000000        15.250000      -0.24207024E-03   -1.5002421
  15.300000       0.52918800E-01    0.0000000        15.300000      -0.50979075E-03   -1.5005098
  15.350000       0.45351330E-01    0.0000000        15.350000      -0.74049871E-03   -1.5007405
  15.400000       0.97942050E-02    0.0000000        15.400000      -0.92833147E-03   -1.5009283
  15.450000      -0.15878260E-01    0.0000000        15.450000      -0.10694080E-02   -1.5010694
  15.500000      -0.19761935E-01    0.0000000        15.500000      -0.11618365E-02   -1.5011618
  15.550000      -0.17138685E-01    0.0000000        15.550000      -0.12056469E-02   -1.5012056
  15.600000      -0.29534973E-01    0.0000000        15.600000      -0.12026564E-02   -1.5012027
  15.650000      -0.45168047E-01    0.0000000        15.650000      -0.11562777E-02   -1.5011563
  15.700000      -0.60790365E-01    0.0000000        15.700000      -0.10712804E-02   -1.5010713
  15.750000      -0.53975500E-01    0.0000000        15.750000      -0.95351924E-03   -1.5009535
  15.800000      -0.74147416E-01    0.0000000        15.800000      -0.80963977E-03   -1.5008096
