# data: r, chi, fit, path1, path2
#------------------------
#   r         chir_mag       chir_mag      chir_mag        chir_mag        chir_re       chir_re
  3.7735927       0.15015375       0.77336444E-02   0.13987051E-02   0.91266438E-02  -0.15015366       0.20814175E-02
  3.8042724       0.15077713       0.77286050E-02   0.13567652E-02   0.90980019E-02  -0.13697508       0.37567583E-02
  3.8349520       0.14759970       0.76005433E-02   0.13114236E-02   0.89292523E-02  -0.94848335E-01   0.51177804E-02
  3.8656316       0.14079048       0.73796961E-02   0.12625580E-02   0.86497576E-02  -0.33854124E-01   0.60723004E-02
  3.8963112       0.13093268       0.70837418E-02   0.12105243E-02   0.82816561E-02   0.30097324E-01   0.65791219E-02
  3.9269908       0.11910224       0.67238289E-02   0.11565775E-02   0.78443058E-02   0.79972948E-01   0.66396057E-02
  3.9576704       0.10699483       0.63120280E-02   0.11030232E-02   0.73583639E-02   0.10260049       0.63014165E-02
  3.9883500       0.97062859E-01   0.58660323E-02   0.10531741E-02   0.68470656E-02   0.92287279E-01   0.56574384E-02
  4.0190297       0.92322408E-01   0.54086514E-02   0.10111543E-02   0.63340128E-02   0.52140528E-01   0.48266137E-02
  4.0497093       0.95173537E-01   0.49624228E-02   0.98144628E-03   0.58388816E-02  -0.69585512E-02   0.39215379E-02
  4.0803889       0.10577516       0.45423854E-02   0.96797253E-03   0.53738657E-02  -0.69158958E-01   0.30220182E-02
  4.1110685       0.12216628       0.41516116E-02   0.97272769E-03   0.49434360E-02  -0.11744261       0.21708652E-02
  4.1417481       0.14183953       0.37829813E-02   0.99452199E-03   0.45478415E-02  -0.13765763       0.13906650E-02
  4.1724277       0.16269798       0.34266439E-02   0.10286789E-02   0.41879638E-02  -0.12201033       0.70401220E-03
  4.2031074       0.18318579       0.30786145E-02   0.10679870E-02   0.38678610E-02  -0.71193080E-01   0.13899177E-03
  4.2337870       0.20218683       0.27453706E-02   0.11043695E-02   0.35927645E-02   0.55652350E-02  -0.28334158E-03
  4.2644666       0.21894683       0.24418319E-02   0.11305003E-02   0.33636898E-02   0.92754847E-01  -0.56583880E-03
  4.2951462       0.23304015       0.21833842E-02   0.11409333E-02   0.31730486E-02   0.17257529      -0.73895129E-03
  4.3258258       0.24434903       0.19761300E-02   0.11326742E-02   0.30057092E-02   0.22936151      -0.84579642E-03
  4.3565054       0.25302603       0.18125871E-02   0.11052832E-02   0.28457785E-02   0.25296134      -0.91996317E-03
  4.3871851       0.25942587       0.16777075E-02   0.10606405E-02   0.26847549E-02   0.24011233      -0.97387553E-03
  4.4178647       0.26400878       0.15609877E-02   0.10025162E-02   0.25259898E-02   0.19382750      -0.10060694E-02
  4.4485443       0.26723331       0.14646444E-02   0.93607705E-03   0.23828599E-02   0.12161131      -0.10190312E-02
  4.4792239       0.26946573       0.14010702E-02   0.86741621E-03   0.22710438E-02   0.33532791E-01  -0.10302033E-02
  4.5099035       0.27093141       0.13801074E-02   0.80307811E-03   0.21986573E-02  -0.59230601E-01  -0.10653018E-02
  4.5405831       0.27171889       0.13960711E-02   0.74939435E-03   0.21609132E-02  -0.14539084      -0.11392995E-02
  4.5712627       0.27182598       0.14278092E-02   0.71139651E-03   0.21437200E-02  -0.21445457      -0.12419604E-02
  4.6019424       0.27122065       0.14512541E-02   0.69141217E-03   0.21328891E-02  -0.25779047      -0.13415535E-02
  4.6326220       0.26988643       0.14519024E-02   0.68814557E-03   0.21214574E-02  -0.26975098      -0.14051400E-02
  4.6633016       0.26783279       0.14299687E-02   0.69718800E-03   0.21109063E-02  -0.24850964      -0.14197986E-02
  4.6939812       0.26507005       0.13982881E-02   0.71285116E-03   0.21070132E-02  -0.19637547      -0.13982747E-02
