# data from ifeffit
#------------------------
#   r         chir_mag       chir_mag      chir_re       chir_re
  5.1234958       0.12655735       0.76448690E-03  -0.12566409       0.32740486E-03
  5.1541754       0.11833999       0.72992348E-03  -0.11558468       0.23331243E-03
  5.1848551       0.11267267       0.69319752E-03  -0.97624103E-01   0.15389924E-03
  5.2155347       0.11003407       0.66327211E-03  -0.76490311E-01   0.92723639E-04
  5.2462143       0.11091069       0.64862949E-03  -0.54105422E-01   0.41934606E-04
  5.2768939       0.11563904       0.65082570E-03  -0.29669175E-01  -0.15001015E-04
  5.3075735       0.12423421       0.66218609E-03  -0.68262576E-03  -0.93038177E-04
  5.3382531       0.13631037       0.67030354E-03   0.35340083E-01  -0.19449292E-03
  5.3689328       0.15111983       0.66463777E-03   0.78855888E-01  -0.30532570E-03
  5.3996124       0.16765259       0.64045378E-03   0.12658135      -0.40201442E-03
  5.4302920       0.18474053       0.59952302E-03   0.17088001      -0.46462129E-03
  5.4609716       0.20115196       0.54866638E-03   0.20091558      -0.48708761E-03
  5.4916512       0.21568296       0.49695347E-03   0.20564850      -0.47782696E-03
  5.5223308       0.22724862       0.45221609E-03   0.17786892      -0.45082397E-03
  5.5530105       0.23496837       0.41816817E-03   0.11773253      -0.41428936E-03
  5.5836901       0.23823523       0.39401724E-03   0.34169768E-01  -0.36535268E-03
  5.6143697       0.23675927       0.37691413E-03  -0.56747783E-01  -0.29436141E-03
  5.6450493       0.23057924       0.36480294E-03  -0.13615134      -0.19499093E-03
  5.6757289       0.22004137       0.35724229E-03  -0.18791063      -0.72190228E-04
  5.7064085       0.20574967       0.35436161E-03  -0.20330766       0.57984078E-04
  5.7370881       0.18849611       0.35578101E-03  -0.18316366       0.17618402E-03
  5.7677678       0.16918164       0.36069806E-03  -0.13679845       0.26908926E-03
  5.7984474       0.14873987       0.36856518E-03  -0.78436894E-01   0.33344963E-03
  5.8291270       0.12807492       0.37900991E-03  -0.22540209E-01   0.37271413E-03
  5.8598066       0.10802353       0.39068784E-03   0.20265458E-01   0.39011287E-03
  5.8904862       0.89351570E-01   0.40024193E-03   0.45428626E-01   0.38458690E-03
  5.9211658       0.72793640E-01   0.40268194E-03   0.54437948E-01   0.35311377E-03
  5.9518455       0.59133156E-01   0.39321872E-03   0.52880776E-01   0.29722337E-03
  5.9825251       0.49253916E-01   0.36956722E-03   0.47530360E-01   0.22762200E-03
  6.0132047       0.43917911E-01   0.33380975E-03   0.43595248E-01   0.16206000E-03
  6.0438843       0.43082101E-01   0.29329230E-03   0.43077623E-01   0.11696528E-03
  6.0745639       0.45532766E-01   0.25956697E-03   0.44693169E-01   0.98600132E-04
  6.1052435       0.49612880E-01   0.24291077E-03   0.45169123E-01   0.10032730E-03
  6.1359232       0.54022726E-01   0.24348411E-03   0.41194241E-01   0.10820557E-03
  6.1666028       0.57984750E-01   0.25110736E-03   0.31078094E-01   0.11091241E-03
