# data from ifeffit
#------------------------
#   x1        y1        x2        y2
  4.4174069        2.9242959        3.7120324        2.6762363
  4.4138807        2.9166557        3.7098033        2.6714067
  4.4102823        2.9089903        3.7075287        2.6665613
  4.4066121        2.9013001        3.7052087        2.6617002
  4.4028700        2.8935854        3.7028433        2.6568236
  4.3990564        2.8858464        3.7004326        2.6519316
  4.3951712        2.8780836        3.6979767        2.6470245
  4.3912147        2.8702970        3.6954757        2.6421025
  4.3871869        2.8624872        3.6929296        2.6371657
  4.3830881        2.8546542        3.6903387        2.6322144
  4.3789184        2.8467985        3.6877030        2.6272486
  4.3746780        2.8389203        3.6850225        2.6222686
  4.3703670        2.8310200        3.6822974        2.6172747
  4.3659856        2.8230978        3.6795279        2.6122669
  4.3615339        2.8151540        3.6767139        2.6072454
  4.3570122        2.8071889        3.6738556        2.6022106
  4.3524205        2.7992028        3.6709531        2.5971624
  4.3477591        2.7911961        3.6680065        2.5921012
  4.3430281        2.7831690        3.6650159        2.5870271
  4.3382277        2.7751218        3.6619815        2.5819403
  4.3333581        2.7670549        3.6589034        2.5768410
  4.3284195        2.7589684        3.6557816        2.5717294
  4.3234121        2.7508629        3.6526163        2.5666057
  4.3183360        2.7427384        3.6494075        2.5614701
  4.3131914        2.7345954        3.6461556        2.5563227
  4.3079786        2.7264342        3.6428604        2.5511639
  4.3026977        2.7182550        3.6395223        2.5459936
  4.2973489        2.7100582        3.6361412        2.5408123
  4.2919325        2.7018441        3.6327174        2.5356199
  4.2864486        2.6936130        3.6292509        2.5304169
  4.2808974        2.6853651        3.6257419        2.5252033
  4.2752792        2.6771009        3.6221905        2.5199793
  4.2695942        2.6688206        3.6185969        2.5147451
  4.2638425        2.6605245        3.6149611        2.5095010
  4.2580245        2.6522130        3.6112834        2.5042471
  4.2521402        2.6438863        3.6075638        2.4989836
  4.2461900        2.6355448        3.6038026        2.4937108
  4.2401740        2.6271888        3.5999998        2.4884288
  4.2340925        2.6188186        3.5961555        2.4831378
  4.2279457        2.6104345        3.5922700        2.4778380
  4.2217339        2.6020368        3.5883434        2.4725297
  4.2154572        2.5936259        3.5843758        2.4672130
  4.2091160        2.5852020        3.5803673        2.4618881
  4.2027104        2.5767655        3.5763182        2.4565552
  4.1962407        2.5683167        3.5722286        2.4512145
  4.1897071        2.5598559        3.5680986        2.4458663
  4.1831100        2.5513835        3.5639284        2.4405107
  4.1764494        2.5428997        3.5597181        2.4351479
  4.1697257        2.5344049        3.5554680        2.4297782
  4.1629392        2.5258994        3.5511781        2.4244017
  4.1560901        2.5173835        3.5468486        2.4190186
  4.1491786        2.5088575        3.5424797        2.4136291
  4.1422050        2.5003218        3.5380716        2.4082335
  4.1351696        2.4917766        3.5336243        2.4028320
  4.1280727        2.4832224        3.5291382        2.3974247
  4.1209144        2.4746593        3.5246133        2.3920118
  4.1136951        2.4660879        3.5200499        2.3865936
  4.1064151        2.4575082        3.5154480        2.3811702
  4.0990745        2.4489208        3.5108079        2.3757419
  4.0916738        2.4403259        3.5061297        2.3703089
  4.0842132        2.4317238        3.5014137        2.3648713
  4.0766929        2.4231148        3.4966600        2.3594294
  4.0691132        2.4144994        3.4918687        2.3539834
  4.0614745        2.4058777        3.4870401        2.3485335
  4.0537769        2.3972502        3.4821743        2.3430799
  4.0460209        2.3886172        3.4772716        2.3376228
  4.0382067        2.3799789        3.4723321        2.3321623
  4.0303345        2.3713357        3.4673559        2.3266988
  4.0224048        2.3626880        3.4623434        2.3212324
  4.0144177        2.3540360        3.4572946        2.3157633
  4.0063736        2.3453801        3.4522097        2.3102917
  3.9982728        2.3367206        3.4470890        2.3048179
  3.9901156        2.3280579        3.4419327        2.2993420
  3.9819023        2.3193922        3.4367409        2.2938642
  3.9736331        2.3107239        3.4315138        2.2883848
  3.9653085        2.3020533        3.4262517        2.2829039
  3.9569288        2.2933807        3.4209546        2.2774218
  3.9484942        2.2847065        3.4156229        2.2719387
  3.9400050        2.2760310        3.4102568        2.2664548
  3.9314617        2.2673546        3.4048563        2.2609702
  3.9228644        2.2586775        3.3994218        2.2554852
  3.9142136        2.2500000        3.3939535        2.2500000
  3.9055095        2.2413225        3.3884514        2.2445148
  3.8967525        2.2326454        3.3829160        2.2390298
  3.8879429        2.2239690        3.3773473        2.2335452
  3.8790811        2.2152935        3.3717455        2.2280613
  3.8701673        2.2066193        3.3661109        2.2225782
  3.8612020        2.1979467        3.3604438        2.2170961
  3.8521854        2.1892761        3.3547442        2.2116152
  3.8431179        2.1806078        3.3490124        2.2061358
  3.8339998        2.1719421        3.3432487        2.2006580
  3.8248316        2.1632794        3.3374533        2.1951821
  3.8156134        2.1546199        3.3316263        2.1897083
  3.8063457        2.1459640        3.3257680        2.1842367
  3.7970288        2.1373120        3.3198786        2.1787676
  3.7876631        2.1286643        3.3139583        2.1733012
  3.7782489        2.1200211        3.3080074        2.1678377
  3.7687866        2.1113828        3.3020261        2.1623772
  3.7592765        2.1027498        3.2960146        2.1569201
  3.7497190        2.0941223        3.2899731        2.1514665
  3.7401144        2.0855006        3.2839018        2.1460166
  3.7304632        2.0768852        3.2778011        2.1405706
  3.7207656        2.0682762        3.2716710        2.1351287
  3.7110221        2.0596741        3.2655120        2.1296911
  3.7012330        2.0510792        3.2593240        2.1242581
  3.6913986        2.0424918        3.2531076        2.1188298
  3.6815194        2.0339121        3.2468627        2.1134064
  3.6715957        2.0253407        3.2405897        2.1079882
  3.6616279        2.0167776        3.2342889        2.1025753
  3.6516164        2.0082234        3.2279604        2.0971680
  3.6415615        1.9996782        3.2216045        2.0917665
  3.6314636        1.9911425        3.2152214        2.0863709
  3.6213232        1.9826165        3.2088114        2.0809814
  3.6111405        1.9741006        3.2023747        2.0755983
  3.6009159        1.9655951        3.1959116        2.0702218
  3.5906500        1.9571003        3.1894223        2.0648521
  3.5803429        1.9486165        3.1829070        2.0594893
  3.5699952        1.9401441        3.1763660        2.0541337
  3.5596072        1.9316833        3.1697995        2.0487855
  3.5491794        1.9232345        3.1632078        2.0434448
  3.5387120        1.9147980        3.1565912        2.0381119
  3.5282055        1.9063741        3.1499498        2.0327870
  3.5176603        1.8979632        3.1432840        2.0274703
  3.5070768        1.8895655        3.1365939        2.0221620
  3.4964553        1.8811814        3.1298799        2.0168622
  3.4857964        1.8728112        3.1231422        2.0115712
  3.4751003        1.8644552        3.1163810        2.0062892
  3.4643675        1.8561137        3.1095966        2.0010164
