# data: r, chi, fit, path1, path2
#------------------------
#   r         chir_mag       chir_mag      chir_mag        chir_mag        chir_re       chir_re
  5.5223308       0.21147954       0.13986944E-02   0.62275151E-03   0.18017669E-02   0.16720810      -0.10531204E-03
  5.5530105       0.21910425       0.12671015E-02   0.62446774E-03   0.16852094E-02   0.11070631      -0.30502494E-03
  5.5836901       0.22263466       0.11433598E-02   0.62335035E-03   0.15839177E-02   0.31198455E-01  -0.43664982E-03
  5.6143697       0.22177744       0.10343040E-02   0.62031921E-03   0.15083207E-02  -0.55630282E-01  -0.51196106E-03
  5.6450493       0.21654771       0.94834045E-03   0.61526038E-03   0.14620759E-02  -0.13124293      -0.55187716E-03
  5.6757289       0.20724622       0.89133355E-03   0.60729852E-03   0.14390630E-02  -0.17983612      -0.58149348E-03
  5.7064085       0.19440858       0.86098489E-03   0.59528515E-03   0.14255315E-02  -0.19300969      -0.61974052E-03
  5.7370881       0.17873711       0.84552962E-03   0.57823426E-03   0.14060922E-02  -0.17181334      -0.66964440E-03
  5.7677678       0.16102714       0.82931627E-03   0.55553988E-03   0.13695007E-02  -0.12561172      -0.71726311E-03
  5.7984474       0.14209988       0.80066318E-03   0.52697366E-03   0.13117738E-02  -0.68464252E-01  -0.74217397E-03
  5.8291270       0.12275164       0.75712978E-03   0.49257678E-03   0.12365911E-02  -0.14523877E-01  -0.73347929E-03
  5.8598066       0.10372746       0.70726664E-03   0.45258743E-03   0.11537371E-02   0.25922088E-01  -0.70002241E-03
  5.8904862       0.85726023E-01   0.66854420E-03   0.40749273E-03   0.10761087E-02   0.48608451E-01  -0.66674556E-03
  5.9211658       0.69444161E-01   0.65919982E-03   0.35820667E-03   0.10156469E-02   0.55239535E-01  -0.65893507E-03
  5.9518455       0.55665970E-01   0.68531589E-03   0.30630715E-03   0.97915967E-03   0.51571315E-01  -0.68505215E-03
  5.9825251       0.45352358E-01   0.73572272E-03   0.25425720E-03   0.96608141E-03   0.44517168E-01  -0.72998258E-03
  6.0132047       0.39482429E-01   0.79123447E-03   0.20558393E-03   0.96968942E-03   0.39390324E-01  -0.76301994E-03
  6.0438843       0.38273924E-01   0.83572826E-03   0.16498875E-03   0.98054092E-03   0.38248531E-01  -0.75462359E-03
  6.0745639       0.40533798E-01   0.86046095E-03   0.13790253E-03   0.98946109E-03   0.39819960E-01  -0.69073119E-03
  6.1052435       0.44446407E-01   0.86353564E-03   0.12790010E-03   0.98899016E-03   0.40823588E-01  -0.57658958E-03
  6.1359232       0.48621848E-01   0.84750017E-03   0.13287502E-03   0.97396947E-03   0.37924926E-01  -0.43037318E-03
  6.1666028       0.52296013E-01   0.81658155E-03   0.14677389E-03   0.94215905E-03   0.29362212E-01  -0.27337919E-03
  6.1972824       0.55160040E-01   0.77457954E-03   0.16485955E-03   0.89515686E-03   0.15549410E-01  -0.12368473E-03
  6.2279620       0.57205459E-01   0.72427113E-03   0.18501674E-03   0.83928330E-03  -0.14369327E-02   0.50258627E-05
  6.2586416       0.58621217E-01   0.66856516E-03   0.20641458E-03   0.78560841E-03  -0.18990665E-01   0.10285374E-03
  6.2893212       0.59701281E-01   0.61266160E-03   0.22832942E-03   0.74778200E-03  -0.34987734E-01   0.16517361E-03
  6.3200008       0.60738522E-01   0.56554535E-03   0.24977746E-03   0.73668027E-03  -0.48150874E-01   0.19615305E-03
  6.3506805       0.61915142E-01   0.53841409E-03   0.26970063E-03   0.75433833E-03  -0.57744413E-01   0.21025720E-03
  6.3813601       0.63228320E-01   0.53858690E-03   0.28728484E-03   0.79323509E-03  -0.63025243E-01   0.22796230E-03
  6.4120397       0.64487177E-01   0.56334867E-03   0.30211414E-03   0.84207491E-03  -0.62988550E-01   0.26656349E-03
  6.4427193       0.65380074E-01   0.60171029E-03   0.31406835E-03   0.89201025E-03  -0.56678813E-01   0.33182844E-03
  6.4733989       0.65574788E-01   0.64223477E-03   0.32304682E-03   0.93911749E-03  -0.43894884E-01   0.41661530E-03
  6.5040785       0.64809246E-01   0.67882380E-03   0.32870245E-03   0.98353758E-03  -0.25808080E-01   0.50759224E-03
  6.5347582       0.62949373E-01   0.71197035E-03   0.33036388E-03   0.10270329E-02  -0.50328197E-02   0.59482433E-03
  6.5654378       0.60009816E-01   0.74668767E-03   0.32721053E-03   0.10705619E-02   0.14987502E-01   0.67666039E-03
  6.5961174       0.56142929E-01   0.78846819E-03   0.31862138E-03   0.11130910E-02   0.31010268E-01   0.75620766E-03
  6.6267970       0.51603873E-01   0.83928046E-03   0.30453951E-03   0.11520276E-02   0.40936586E-01   0.83263717E-03
