# data from ifeffit
#------------------------
#   r         chir_mag     chir_re     chir_mag      chir_re      rw        resid
  5.5223308       0.21572311      -0.18044705       0.31478834E-02   0.30484381E-02    0.0000000       -2.0000000
  5.5530105       0.16365436      -0.79485941E-01   0.29803466E-02   0.29315782E-02    0.0000000       -2.0000000
  5.5836901       0.11358299       0.43339573E-02   0.32895540E-02   0.32591265E-02    0.0000000       -2.0000000
  5.6143697       0.70577094E-01   0.47810178E-01   0.38607444E-02   0.37780071E-02    0.0000000       -2.0000000
  5.6450493       0.46774382E-01   0.45057032E-01   0.44223558E-02   0.41221563E-02    0.0000000       -2.0000000
  5.6757289       0.55362358E-01   0.69066193E-02   0.48183218E-02   0.40330937E-02    0.0000000       -2.0000000
  5.7064085       0.76962233E-01  -0.45426477E-01   0.50012585E-02   0.34874537E-02    0.0000000       -2.0000000
  5.7370881       0.95880324E-01  -0.89089630E-01   0.50015947E-02   0.26611427E-02    0.0000000       -2.0000000
  5.7677678       0.10803258      -0.10735953       0.48987130E-02   0.17801260E-02    0.0000000       -2.0000000
  5.7984474       0.11245323      -0.94323015E-01   0.47859771E-02   0.97720968E-03    0.0000000       -2.0000000
  5.8291270       0.10921313      -0.55775259E-01   0.47299828E-02   0.24861273E-03    0.0000000       -2.0000000
  5.8598066       0.99020275E-01  -0.65140933E-02   0.47426216E-02  -0.48359169E-03    0.0000000       -2.0000000
  5.8904862       0.83256262E-01   0.35219646E-01   0.47876001E-02  -0.12726082E-02    0.0000000       -2.0000000
  5.9211658       0.64330097E-01   0.54613278E-01   0.48139768E-02  -0.20913502E-02    0.0000000       -2.0000000
  5.9518455       0.46837034E-01   0.45999306E-01   0.47872510E-02  -0.28502584E-02    0.0000000       -2.0000000
  5.9825251       0.39662558E-01   0.14785638E-01   0.47013515E-02  -0.34582784E-02    0.0000000       -2.0000000
  6.0132047       0.48271272E-01  -0.25615770E-01   0.45737496E-02  -0.38728603E-02    0.0000000       -2.0000000
  6.0438843       0.64328255E-01  -0.60406156E-01   0.44318754E-02  -0.41066051E-02    0.0000000       -2.0000000
  6.0745639       0.80608929E-01  -0.79856492E-01   0.42986483E-02  -0.41981276E-02    0.0000000       -2.0000000
  6.1052435       0.94931265E-01  -0.81907570E-01   0.41837287E-02  -0.41782948E-02    0.0000000       -2.0000000
  6.1359232       0.10759927      -0.69854213E-01   0.40838681E-02  -0.40569645E-02    0.0000000       -2.0000000
  6.1666028       0.11989607      -0.47566712E-01   0.39901605E-02  -0.38325447E-02    0.0000000       -2.0000000
  6.1972824       0.13282620      -0.16386314E-01   0.38962846E-02  -0.35090161E-02    0.0000000       -2.0000000
  6.2279620       0.14615176       0.23792726E-01   0.38029573E-02  -0.31040662E-02    0.0000000       -2.0000000
  6.2586416       0.15823989       0.70526410E-01   0.37173945E-02  -0.26432408E-02    0.0000000       -2.0000000
  6.2893212       0.16671948       0.11605435       0.36491592E-02  -0.21467382E-02    0.0000000       -2.0000000
  6.3200008       0.16947126       0.14930226       0.36047463E-02  -0.16196972E-02    0.0000000       -2.0000000
  6.3506805       0.16561546       0.16227771       0.35833822E-02  -0.10533477E-02    0.0000000       -2.0000000
  6.3813601       0.15648683       0.15627889       0.35759785E-02  -0.43723267E-03    0.0000000       -2.0000000
  6.4120397       0.14662588       0.14243347       0.35677417E-02   0.22415293E-03    0.0000000       -2.0000000
