# data from ifeffit
#------------------------
#   r         chir_mag         chir_mag       chir_mag
  11.719613       0.54234286E-01   0.45528102E-01   0.13740336
  11.750293       0.56149841E-01   0.55605662E-01   0.99928990E-01
  11.780972       0.56125767E-01   0.63243542E-01   0.69341095E-01
  11.811652       0.53662083E-01   0.67853113E-01   0.61389065E-01
  11.842332       0.48708151E-01   0.69154973E-01   0.78309079E-01
  11.873011       0.41760265E-01   0.67212472E-01   0.10150894
  11.903691       0.34021493E-01   0.62438305E-01   0.11979259
  11.934371       0.27700808E-01   0.55569727E-01   0.12892537
  11.965050       0.25748784E-01   0.47616045E-01   0.12780519
  11.995730       0.28979951E-01   0.39776676E-01   0.11808196
  12.026409       0.34764770E-01   0.33285222E-01   0.10563848
  12.057089       0.40479958E-01   0.29054077E-01   0.10254482
  12.087769       0.44884811E-01   0.27147304E-01   0.12063460
  12.118448       0.47755107E-01   0.26725506E-01   0.15768319
  12.149128       0.49508090E-01   0.26782854E-01   0.20332661
  12.179807       0.50868218E-01   0.26775292E-01   0.24889488
  12.210487       0.52464248E-01   0.26652556E-01   0.28834408
  12.241167       0.54459677E-01   0.26583454E-01   0.31753387
  12.271846       0.56450415E-01   0.26660738E-01   0.33392950
  12.302526       0.57686600E-01   0.26758121E-01   0.33652278
  12.333206       0.57413693E-01   0.26601457E-01   0.32578773
  12.363885       0.55130454E-01   0.25959535E-01   0.30362840
  12.394565       0.50712486E-01   0.24817208E-01   0.27333525
  12.425244       0.44436706E-01   0.23464496E-01   0.23954878
  12.455924       0.36961896E-01   0.22467068E-01   0.20806461
  12.486604       0.29337431E-01   0.22447246E-01   0.18485986
  12.517283       0.23124283E-01   0.23704233E-01   0.17349976
  12.547963       0.20350624E-01   0.26032345E-01   0.17238695
  12.578642       0.21961414E-01   0.28965666E-01   0.17598566
  12.609322       0.26455769E-01   0.32108877E-01   0.17924728
  12.640002       0.31976947E-01   0.35267053E-01   0.18060178
  12.670681       0.37509855E-01   0.38410015E-01   0.18246756
  12.701361       0.42515112E-01   0.41573514E-01   0.18970424
  12.732041       0.46588321E-01   0.44766930E-01   0.20598798
  12.762720       0.49369350E-01   0.47930140E-01   0.23047039
  12.793400       0.50596148E-01   0.50949419E-01   0.25814033
  12.824079       0.50212442E-01   0.53708957E-01   0.28266071
  12.854759       0.48464050E-01   0.56140878E-01   0.29861151
  12.885439       0.45928361E-01   0.58245365E-01   0.30252133
  12.916118       0.43410711E-01   0.60071412E-01   0.29324336
  12.946798       0.41647084E-01   0.61668488E-01   0.27207075
  12.977477       0.40899356E-01   0.63034347E-01   0.24279838
  13.008157       0.40790218E-01   0.64087370E-01   0.21185184
  13.038837       0.40621429E-01   0.64679072E-01   0.18810188
  13.069516       0.39935277E-01   0.64640881E-01   0.18029131
  13.100196       0.38971877E-01   0.63843585E-01   0.19072999
  13.130876       0.38838350E-01   0.62245710E-01   0.21305968
  13.161555       0.41066863E-01   0.59914669E-01   0.23835145
  13.192235       0.46437643E-01   0.57014325E-01   0.25985932
  13.222914       0.54273499E-01   0.53761525E-01   0.27355166
  13.253594       0.63056728E-01   0.50363110E-01   0.27745622
  13.284274       0.71280475E-01   0.46954595E-01   0.27114098
  13.314953       0.77843716E-01   0.43567259E-01   0.25539999
  13.345633       0.82168943E-01   0.40142474E-01   0.23200368
  13.376312       0.84216398E-01   0.36589173E-01   0.20340302
  13.406992       0.84421167E-01   0.32857291E-01   0.17233008
  13.437672       0.83528532E-01   0.28993895E-01   0.14129352
  13.468351       0.82316157E-01   0.25158225E-01   0.11204840
  13.499031       0.81264791E-01   0.21582811E-01   0.85249483E-01
  13.529711       0.80337591E-01   0.18476731E-01   0.60645584E-01
  13.560390       0.79019264E-01   0.15896531E-01   0.38422865E-01
  13.591070       0.76592564E-01   0.13678037E-01   0.24680365E-01
  13.621749       0.72478916E-01   0.11547236E-01   0.34458653E-01
  13.652429       0.66498833E-01   0.94366850E-02   0.57026009E-01
  13.683109       0.59021099E-01   0.80088472E-02   0.80950796E-01
  13.713788       0.51031817E-01   0.88259207E-02   0.10236972
  13.744468       0.44104227E-01   0.12250357E-01   0.11908356
  13.775147       0.40000834E-01   0.17018184E-01   0.12968892
  13.805827       0.39527892E-01   0.22051884E-01   0.13353278
  13.836507       0.41634424E-01   0.26636737E-01   0.13070265
  13.867186       0.44328887E-01   0.30267102E-01   0.12194303
  13.897866       0.46039395E-01   0.32619503E-01   0.10850130
  13.928546       0.46038210E-01   0.33571438E-01   0.91932977E-01
  13.959225       0.44365586E-01   0.33218903E-01   0.73902124E-01
  13.989905       0.41682488E-01   0.31870886E-01   0.56010146E-01
  14.020584       0.39079067E-01   0.30001121E-01   0.39684546E-01
  14.051264       0.37689164E-01   0.28132000E-01   0.26172977E-01
  14.081944       0.38066565E-01   0.26643692E-01   0.16728825E-01
  14.112623       0.39804532E-01   0.25586751E-01   0.12676184E-01
  14.143303       0.41885929E-01   0.24657996E-01   0.13439316E-01
  14.173982       0.43320914E-01   0.23388289E-01   0.16524379E-01
  14.204662       0.43506571E-01   0.21394602E-01   0.21142111E-01
  14.235342       0.42314203E-01   0.18566326E-01   0.27482546E-01
  14.266021       0.40074585E-01   0.15213855E-01   0.35297133E-01
  14.296701       0.37530635E-01   0.12310946E-01   0.43698742E-01
  14.327381       0.35712842E-01   0.11587733E-01   0.51411192E-01
  14.358060       0.35605385E-01   0.13826421E-01   0.56993129E-01
  14.388740       0.37635281E-01   0.17593740E-01   0.59006118E-01
  14.419419       0.41470797E-01   0.21344208E-01   0.56172916E-01
  14.450099       0.46378887E-01   0.24204584E-01   0.47542796E-01
  14.480779       0.51648902E-01   0.25738277E-01   0.32688417E-01
  14.511458       0.56740512E-01   0.25799546E-01   0.12560713E-01
  14.542138       0.61251770E-01   0.24486798E-01   0.17939071E-01
  14.572817       0.64854932E-01   0.22141689E-01   0.48667831E-01
  14.603497       0.67265860E-01   0.19395490E-01   0.82803075E-01
  14.634177       0.68261097E-01   0.17252472E-01   0.11770743
  14.664856       0.67732357E-01   0.16942672E-01   0.15107412
  14.695536       0.65756642E-01   0.19066187E-01   0.18072474
  14.726216       0.62654421E-01   0.23054604E-01   0.20478444
