# data from ifeffit
#------------------------
#   k         e00       e01       e02
  9.8500000       0.33213482E-02  -0.58356482E-01  -0.24763062E-01
  9.9000000       0.47471258E-02  -0.55391931E-01  -0.31666837E-01
  9.9500000       0.46681485E-02  -0.58182253E-01  -0.28783505E-01
  10.000000      -0.17488764E-03  -0.59113911E-01  -0.36954596E-01
  10.050000       0.88934278E-02  -0.56962114E-01  -0.27561428E-01
  10.100000      -0.56043782E-02  -0.57309015E-01  -0.23567188E-01
  10.150000       0.60612585E-02  -0.49509895E-01  -0.21948371E-01
  10.200000       0.89540901E-02  -0.47723431E-01  -0.18772702E-01
  10.250000       0.40509963E-02  -0.51168452E-01  -0.27596474E-01
  10.300000      -0.18795859E-02  -0.61399622E-01  -0.23074525E-01
  10.350000       0.26591331E-02  -0.56044641E-01  -0.30082673E-01
  10.400000      -0.15631873E-03  -0.57590844E-01  -0.30651424E-01
  10.450000      -0.38974036E-02  -0.62503361E-01  -0.29954823E-01
  10.500000       0.35780976E-02  -0.52906141E-01  -0.25139103E-01
  10.550000       0.38476268E-02  -0.60729029E-01  -0.27177448E-01
  10.600000      -0.66960510E-02  -0.73062001E-01  -0.28421546E-01
  10.650000      -0.11979083E-01  -0.68391576E-01  -0.35045992E-01
  10.700000      -0.22363822E-02  -0.60488596E-01  -0.30703022E-01
  10.750000      -0.44954597E-02  -0.57140041E-01  -0.32990467E-01
  10.800000      -0.12985542E-01  -0.69586087E-01  -0.29638823E-01
  10.850000      -0.61296146E-02  -0.68314719E-01  -0.35138609E-01
  10.900000       0.12867808E-02  -0.52110455E-01  -0.29882506E-01
  10.950000      -0.37839140E-02  -0.64503204E-01  -0.28599865E-01
  11.000000       0.37564185E-02  -0.58472644E-01  -0.30267310E-01
  11.050000       0.80994172E-02  -0.52917323E-01  -0.37115132E-01
  11.100000       0.80080327E-02  -0.56936402E-01  -0.30172853E-01
  11.150000       0.14316636E-01  -0.57629191E-01  -0.18784810E-01
  11.200000       0.10730848E-01  -0.51571707E-01  -0.25645833E-01
  11.250000       0.29361784E-02  -0.57754014E-01  -0.24471168E-01
  11.300000      -0.72630852E-02  -0.71205449E-01  -0.42221458E-01
  11.350000      -0.18071857E-02  -0.67303106E-01  -0.30607260E-01
  11.400000       0.46153511E-02  -0.52553260E-01  -0.16877136E-01
  11.450000       0.19958698E-02  -0.50907549E-01  -0.22847112E-01
  11.500000      -0.13385883E-02  -0.62056058E-01  -0.33372123E-01
  11.550000       0.17261937E-02  -0.56044818E-01  -0.26170616E-01
  11.600000       0.60117849E-02  -0.57670579E-01  -0.37814284E-01
