# data from ifeffit
#------------------------
#   k         chik      hann3      kaiser3      kaiser5      welch3      parzen3      sine3
  12.000000       0.45748843E-01    2.5000000       0.65475551        1.0528518        3.5000000        2.9999998        1.7390089
  12.050000       0.43999400E-01    2.4993147       0.64730456        1.0441223        3.4997222        2.9833331        1.7327525
  12.100000       0.36703391E-01    2.4972609       0.63981817        1.0353940        3.4988889        2.9666664        1.7264336
  12.150000       0.31355808E-01    2.4938441       0.63229812        1.0266696        3.4975000        2.9499998        1.7200526
  12.200000       0.10791578E-01    2.4890737       0.62474621        1.0179521        3.4955555        2.9333331        1.7136102
  12.250000      -0.33867148E-02    2.4829628       0.61716424        1.0092445        3.4930555        2.9166665        1.7071068
  12.300000      -0.47903157E-03    2.4755282       0.60955399        1.0005495        3.4900000        2.8999998        1.7005430
  12.350000      -0.12858783E-01    2.4667901       0.60191728       0.99186995        3.4863888        2.8833331        1.6939195
  12.400000      -0.36592448E-01    2.4567726       0.59425590       0.98320873        3.4822222        2.8666665        1.6872367
  12.450000      -0.42584783E-01    2.4455031       0.58657165       0.97456858        3.4774999        2.8499998        1.6804952
  12.500000      -0.32217917E-01    2.4330125       0.57886633       0.96595225        3.4722222        2.8333331        1.6736956
  12.550000      -0.27864343E-01    2.4193351       0.57114175       0.95736243        3.4663888        2.8166665        1.6668386
  12.600000      -0.37120918E-01    2.4045083       0.56339970       0.94880182        3.4599999        2.7999998        1.6599245
  12.650000      -0.41026237E-01    2.3885728       0.55564198       0.94027304        3.4530555        2.7833332        1.6529542
  12.700000      -0.32387366E-01    2.3715722       0.54787039       0.93177872        3.4455555        2.7666665        1.6459281
  12.750000      -0.20305489E-01    2.3535532       0.54008673       0.92332141        3.4374999        2.7499998        1.6388468
  12.800000       0.12937201E-01    2.3345651       0.53229277       0.91490365        3.4288888        2.7333332        1.6317110
  12.850000       0.52356489E-01    2.3146600       0.52449032       0.90652792        3.4197221        2.7166665        1.6245213
  12.900000       0.56827508E-01    2.2938924       0.51668115       0.89819667        3.4099999        2.6999998        1.6172782
  12.950000       0.56151085E-01    2.2723193       0.50886703       0.88991232        3.3997221        2.6833332        1.6099825
  13.000000       0.52032929E-01    2.2499998       0.50104974       0.88167723        3.3888888        2.6666665        1.6026346
  13.050000       0.46921287E-01    2.2269950       0.49323106       0.87349371        3.3774999        2.6499998        1.5952354
  13.100000       0.31038825E-01    2.2033681       0.48541272       0.86536404        3.3655554        2.6333332        1.5877853
  13.150000       0.27575862E-01    2.1791838       0.47759650       0.85729047        3.3530554        2.6166665        1.5802850
  13.200000       0.19702204E-01    2.1545083       0.46978412       0.84927516        3.3399999        2.5999999        1.5727351
  13.250000       0.10487193E-01    2.1294093       0.46197734       0.84132025        3.3263888        2.5833332        1.5651364
  13.300000       0.70193118E-02    2.1039556       0.45417788       0.83342784        3.3122221        2.5666665        1.5574894
  13.350000       0.12581416E-01    2.0782170       0.44638745       0.82559996        3.2974999        2.5499999        1.5497949
  13.400000       0.50000707E-02    2.0522640       0.43860778       0.81783860        3.2822221        2.5333332        1.5420534
  13.450000       0.84534518E-03    2.0261678       0.43084055       0.81014570        3.2663888        2.5166665        1.5342656
