# data from ifeffit
#------------------------
#   r         chir_h0      chir_h2      chir_h4      chir_h6
  9.5106809       0.34176809E-01   0.52292465        1.0215308        1.5208221
  9.5413605       0.31978213E-01   0.52079207        1.0192947        1.5184598
  9.5720401       0.29460020E-01   0.51843499        1.0168406        1.5158769
  9.6027197       0.26710661E-01   0.51592182        1.0142877        1.5132221
  9.6333993       0.23788749E-01   0.51330409        1.0117287        1.5106214
  9.6640790       0.20795787E-01   0.51063145        1.0092218        1.5081569
  9.6947586       0.17985094E-01   0.50799643        1.0068108        1.5058670
  9.7254382       0.15880817E-01   0.50567798        1.0046301        1.5038307
  9.7561178       0.15232179E-01   0.50454298        1.0033316        1.5026243
  9.7867974       0.16478818E-01   0.50562807        1.0041906        1.5035754
  9.8174770       0.19234700E-01   0.50817673        1.0065989        1.5059715
  9.8481567       0.22677704E-01   0.51120865        1.0095292        1.5088684
  9.8788363       0.26075650E-01   0.51429915        1.0125875        1.5119355
  9.9095159       0.28900233E-01   0.51721676        1.0155474        1.5149490
  9.9401955       0.30791622E-01   0.51978590        1.0182186        1.5176968
  9.9708751       0.31527238E-01   0.52185819        1.0204325        1.5199814
