# data from ifeffit
#------------------------
#   r         chir_kw0      chir_kw1      chir_kw2      chir_kw3
  7.8846612       0.22041777        4.1844277        8.1855282        12.209487
  7.9153409       0.22939239        4.1864648        8.1780105        12.192990
  7.9460205       0.23582875        4.1865026        8.1683266        12.172468
  7.9767001       0.24024046        4.1850193        8.1569069        12.147748
  8.0073797       0.24324884        4.1828105        8.1449178        12.119709
  8.0380593       0.24551797        4.1809017        8.1343415        12.091027
  8.0687389       0.24765626        4.1803414        8.1277142        12.068353
  8.0994186       0.25010853        4.1819096        8.1271949        12.064159
  8.1300982       0.25307503        4.1858574        8.1332676        12.081799
  8.1607778       0.25648954        4.1918303        8.1443863        12.108896
  8.1914574       0.26006588        4.1990233        8.1580000        12.136363
  8.2221370       0.26339240        4.2064669        8.1717459        12.160235
  8.2528166       0.26603744        4.2132945        8.1840162        12.178944
  8.2834963       0.26763071        4.2189040        8.1940512        12.192390
  8.3141759       0.26790133        4.2229963        8.2018264        12.201653
  8.3448555       0.26667077        4.2255148        8.2078344        12.208732
  8.3755351       0.26381301        4.2265202        8.2127849        12.216066
  8.4062147       0.25920252        4.2260449        8.2172630        12.225745
  8.4368943       0.25267289        4.2239729        8.2214364        12.238698
  8.4675739       0.24400471        4.2199873        8.2249213        12.254330
  8.4982536       0.23295118        4.2136005        8.2268573        12.270829
  8.5289332       0.21929798        4.2042562        8.2261419        12.285849
  8.5596128       0.20294486        4.1914649        8.2217214        12.297167
  8.5902924       0.18399313        4.1749355        8.2128464        12.303116
  8.6209720       0.16282815        4.1546724        8.1992521        12.302811
  8.6516516       0.14019706        4.1310233        8.1812597        12.296220
  8.6823313       0.11729967        4.1046771        8.1598259        12.284130
  8.7130109       0.95924461E-01    4.0766179        8.1365734        12.268030
  8.7436905       0.78596526E-01    4.0480482        8.1138425        12.249906
  8.7743701       0.68252598E-01    4.0203213        8.0947075        12.231923
  8.8050497       0.66323683E-01    4.0060212        8.0824859        12.216002
  8.8357293       0.70650680E-01    4.0280533        8.0788130        12.203334
  8.8664090       0.77190721E-01    4.0461330        8.0816264        12.194058
  8.8970886       0.82778527E-01    4.0592030        8.0866640        12.187324
  8.9277682       0.85698199E-01    4.0668248        8.0903447        12.181773
  8.9584478       0.85299766E-01    4.0689053        8.0906607        12.176157
  8.9891274       0.81665095E-01    4.0656756        8.0869064        12.169805
  9.0198070       0.75440717E-01    4.0576582        8.0793641        12.162821
  9.0504866       0.67789043E-01    4.0456267        8.0692156        12.156058
  9.0811663       0.60404213E-01    4.0306066        8.0587506        12.150871
  9.1118459       0.55410950E-01    4.0143781        8.0517343        12.148651
  9.1425255       0.54682058E-01    4.0104650        8.0523307        12.150224
  9.1732051       0.58596168E-01    4.0269945        8.0611075        12.155434
  9.2038847       0.65817880E-01    4.0448498        8.0746546        12.163199
  9.2345643       0.74498877E-01    4.0615920        8.0895015        12.171959
  9.2652440       0.83186532E-01    4.0764239        8.1034526        12.180146
  9.2959236       0.90966451E-01    4.0888565        8.1152239        12.186463
  9.3266032       0.97336090E-01    4.0985967        8.1240799        12.189983
  9.3572828       0.10207355        4.1055161        8.1296476        12.190148
  9.3879624       0.10514447        4.1096304        8.1318216        12.186741
  9.4186420       0.10663810        4.1110782        8.1307054        12.179833
  9.4493217       0.10672257        4.1100981        8.1265662        12.169741
  9.4800013       0.10561342        4.1070057        8.1197925        12.156968
  9.5106809       0.10355249        4.1021695        8.1108497        12.142151
  9.5413605       0.10079527        4.0959894        8.1002326        12.125985
  9.5720401       0.97605387E-01    4.0888807        8.0884183        12.109150
  9.6027197       0.94254773E-01    4.0812687        8.0758239        12.092231
  9.6333993       0.91027707E-01    4.0736031        8.0627865        12.075672
  9.6640790       0.88224919E-01    4.0663971        8.0495944        12.059804
  9.6947586       0.86160824E-01    4.0602876        8.0366535        12.045095
  9.7254382       0.85143929E-01    4.0560638        8.0251310        12.033029
  9.7561178       0.85432576E-01    4.0545475        8.0191893        12.028079
  9.7867974       0.87170692E-01    4.0562406        8.0245494        12.034837
  9.8174770       0.90326887E-01    4.0609843        8.0370639        12.049723
  9.8481567       0.94667366E-01    4.0680132        8.0518173        12.068087
  9.8788363       0.99776585E-01    4.0763029        8.0669224        12.087636
  9.9095159       0.10511399        4.0848379        8.0813476        12.106953
  9.9401955       0.11008423        4.0927134        8.0942639        12.124861
  9.9708751       0.11410437        4.0991595        8.1049350        12.140301
