# data from ifeffit
#------------------------
#   k         chik      hann3      kaiser3      kaiser5      welch3      parzen3      sine3
  9.2000000      -0.23245288        1.0000000       0.96473868       0.95075271        1.0000000        1.0000000       0.97551197
  9.2500000      -0.16346258        1.0000000       0.96177973       0.94665498        1.0000000        1.0000000       0.97343805
  9.3000000      -0.80265653E-01    1.0000000       0.95870675       0.94240506        1.0000000        1.0000000       0.97128103
  9.3500000       0.18563204E-01    1.0000000       0.95552052       0.93800472        1.0000000        1.0000000       0.96904108
  9.4000000       0.12393033        1.0000000       0.95222186       0.93345579        1.0000000        1.0000000       0.96671840
  9.4500000       0.22845403        1.0000000       0.94881164       0.92876013        1.0000000        1.0000000       0.96431319
  9.5000000       0.30795569        1.0000000       0.94529072       0.92391969        1.0000000        1.0000000       0.96182564
  9.5500000       0.35890387        1.0000000       0.94166003       0.91893646        1.0000000        1.0000000       0.95925598
  9.6000000       0.37948614        1.0000000       0.93792050       0.91381248        1.0000000        1.0000000       0.95660442
  9.6500000       0.37641562        1.0000000       0.93407309       0.90854987        1.0000000        1.0000000       0.95387119
  9.7000000       0.35699885        1.0000000       0.93011879       0.90315077        1.0000000        1.0000000       0.95105652
  9.7500000       0.27825088        1.0000000       0.92605862       0.89761740        1.0000000        1.0000000       0.94816065
  9.8000000       0.15688385        1.0000000       0.92189363       0.89195201        1.0000000        1.0000000       0.94518383
  9.8500000       0.38510518E-01    1.0000000       0.91762489       0.88615691        1.0000000        1.0000000       0.94212631
  9.9000000      -0.78689728E-01    1.0000000       0.91325348       0.88023446        1.0000000        1.0000000       0.93898836
  9.9500000      -0.15481087        1.0000000       0.90878055       0.87418706        1.0000000        1.0000000       0.93577024
  10.000000      -0.19514877        1.0000000       0.90420722       0.86801715        1.0000000        1.0000000       0.93247223
  10.050000      -0.20717612        1.0000000       0.89953468       0.86172724        1.0000000        1.0000000       0.92909461
  10.100000      -0.18220783        1.0000000       0.89476412       0.85531985        1.0000000        1.0000000       0.92563766
  10.150000      -0.16358765        1.0000000       0.88989675       0.84879756        1.0000000        1.0000000       0.92210169
  10.200000      -0.14832223        1.0000000       0.88493382       0.84216298        1.0000000        1.0000000       0.91848699
  10.250000      -0.13108710        1.0000000       0.87987661       0.83541877        1.0000000        1.0000000       0.91479387
  10.300000      -0.12935025        1.0000000       0.87472639       0.82856762        1.0000000        1.0000000       0.91102265
  10.350000      -0.12422552        1.0000000       0.86948447       0.82161225        1.0000000        1.0000000       0.90717365
  10.400000      -0.11394618        1.0000000       0.86415220       0.81455542        1.0000000        1.0000000       0.90324720
  10.450000      -0.97189393E-01    1.0000000       0.85873092       0.80739993        1.0000000        1.0000000       0.89924363
  10.500000      -0.60935131E-01    1.0000000       0.85322201       0.80014860        1.0000000        1.0000000       0.89516329
  10.550000      -0.96239597E-01    1.0000000       0.84762687       0.79280427        1.0000000        1.0000000       0.89100652
  10.600000      -0.10257565        1.0000000       0.84194691       0.78536983        1.0000000        1.0000000       0.88677369
