# data from ifeffit
#------------------------
#   r         chir_h3      chir_p3      chir_k3      chir_k5
  6.4733989       0.78189170E-01   0.57987646        1.0690698        1.5602429
  6.5040785       0.76823012E-01   0.57889520        1.0673701        1.5595786
  6.5347582       0.74354616E-01   0.57667610        1.0643912        1.5580576
  6.5654378       0.70810120E-01   0.57321756        1.0602470        1.5556796
  6.5961174       0.66348659E-01   0.56867637        1.0552280        1.5525453
  6.6267970       0.61225267E-01   0.56332799        1.0497370        1.5488341
  6.6574766       0.55742045E-01   0.55750961        1.0442042        1.5447707
  6.6881562       0.50193175E-01   0.55155434        1.0390026        1.5405858
  6.7188359       0.44812337E-01   0.54572936        1.0343832        1.5364798
  6.7495155       0.39735220E-01   0.54019427        1.0304516        1.5325996
  6.7801951       0.34991255E-01   0.53499588        1.0271975        1.5290329
  6.8108747       0.30531880E-01   0.53010504        1.0245554        1.5258249
  6.8415543       0.26287750E-01   0.52548349        1.0224574        1.5230073
  6.8722339       0.22234711E-01   0.52115617        1.0208445        1.5206246
  6.9029135       0.18449055E-01   0.51726903        1.0196480        1.5187399
  6.9335932       0.15142704E-01   0.51411905        1.0187756        1.5174128
  6.9642728       0.12662096E-01   0.51210886        1.0181353        1.5166641
  6.9949524       0.11373781E-01   0.51150501        1.0176850        1.5164603
  7.0256320       0.11373885E-01   0.51213238        1.0174736        1.5167445
  7.0563116       0.12363998E-01   0.51354147        1.0176371        1.5174869
  7.0869912       0.13982094E-01   0.51542600        1.0183380        1.5187065
  7.1176709       0.16084160E-01   0.51772322        1.0196762        1.5204401
  7.1483505       0.18711526E-01   0.52048436        1.0216351        1.5226840
  7.1790301       0.21933616E-01   0.52373016        1.0240993        1.5253555
  7.2097097       0.25724980E-01   0.52737854        1.0269092        1.5282956
  7.2403893       0.29930272E-01   0.53124878        1.0299033        1.5313033
  7.2710689       0.34296769E-01   0.53510615        1.0329375        1.5341756
  7.3017486       0.38530222E-01   0.53871147        1.0358863        1.5367407
  7.3324282       0.42346469E-01   0.54185955        1.0386414        1.5388775
  7.3631078       0.45510464E-01   0.54440347        1.0411075        1.5405247
  7.3937874       0.47862194E-01   0.54626636        1.0432005        1.5416776
  7.4244670       0.49330160E-01   0.54744243        1.0448453        1.5423784
  7.4551466       0.49932935E-01   0.54798885        1.0459764        1.5427003
  7.4858262       0.49769470E-01   0.54801013        1.0465411        1.5427292
  7.5165059       0.48999556E-01   0.54763708        1.0465090        1.5425473
  7.5471855       0.47817087E-01   0.54700354        1.0458828        1.5422183
  7.5778651       0.46420280E-01   0.54622526        1.0447106        1.5417793
  7.6085447       0.44984314E-01   0.54538567        1.0430914        1.5412376
  7.6392243       0.43641854E-01   0.54453199        1.0411692        1.5405758
  7.6699039       0.42474641E-01   0.54368124        1.0391153        1.5397610
