# data from ifeffit
#------------------------
#   r         chir_mag     chir_mag     chir_mag
  9.6027197       0.62554417E-02   0.46709293E-02   0.31407788E-02
  9.6333993       0.58805765E-02   0.51577248E-02   0.24592457E-02
  9.6640790       0.53335526E-02   0.56695077E-02   0.25239769E-02
  9.6947586       0.48132481E-02   0.59625373E-02   0.33029780E-02
  9.7254382       0.45038013E-02   0.59085618E-02   0.41081570E-02
  9.7561178       0.44320886E-02   0.55112161E-02   0.45244956E-02
  9.7867974       0.44400027E-02   0.49017098E-02   0.44041403E-02
  9.8174770       0.43269935E-02   0.43173806E-02   0.37864675E-02
  9.8481567       0.39761116E-02   0.40106125E-02   0.29009958E-02
  9.8788363       0.33837976E-02   0.40493149E-02   0.22491625E-02
  9.9095159       0.26421885E-02   0.42400282E-02   0.24014186E-02
  9.9401955       0.19105413E-02   0.43267170E-02   0.30465863E-02
  9.9708751       0.13744525E-02   0.41568493E-02   0.35532305E-02
