# data from ifeffit
#------------------------
#   k         chi       chix      chix      chix      kwin
  10.900000      -0.15536712        1.0350307        2.9386448        3.9736755        1.0000000
  10.950000      -0.22597460        1.0685598        3.0508113        4.1193711        1.0000000
  11.000000      -0.28990921        1.1126316        3.1588514        4.2714830        1.0000000
  11.050000      -0.34562722        1.1659840        3.2571520        4.4231360        1.0000000
  11.100000      -0.39181516        1.2271342        3.3406850        4.5678193        1.0000000
  11.150000      -0.42742053        1.2944196        3.4052641        4.6996837        1.0000000
  11.200000      -0.45167525        1.3660425        3.4477533        4.8137958        1.0000000
  11.250000      -0.46411165        1.4401183        3.4662181        4.9063364        1.0000000
  11.300000      -0.46457046        1.5147246        3.4600116        4.9747362        1.0000000
  11.350000      -0.45320075        1.5879514        3.4297904        5.0177418        1.0000000
  11.400000      -0.43045201        1.6579495        3.3774636        5.0354130        1.0000000
  11.450000      -0.39705855        1.7229771        3.3060748        5.0290519        1.0000000
  11.500000      -0.35401691        1.7814433        3.2196272        5.0010705        1.0000000
  11.550000      -0.30255668        1.8319465        3.1228600        4.9548065        1.0000000
  11.600000      -0.24410587        1.8733078        3.0209893        4.8942971        1.0000000
  11.650000      -0.18025160        1.9045982        2.9194275        4.8240257        1.0000000
  11.700000      -0.11269723        1.9251590        2.8234958        4.7486549        1.0000000
  11.750000      -0.43217098E-01    1.9346150        2.7381463        4.6727613        1.0000000
  11.800000       0.26389883E-01    1.9328800        2.6677065        4.6005865        1.0000000
  11.850000       0.94346700E-01    1.9201549        2.6156608        4.5358157        1.0000000
  11.900000       0.15894345        1.8969191        2.5844791        4.4813982        1.0000000
  11.950000       0.21858020        1.8639136        2.5755011        4.4394148        1.0000000
  12.000000       0.27180644        1.8221189        2.5888825        4.4110014        1.0000000
  12.050000       0.31735614        1.7727260        2.6236026        4.3963287        1.0000000
  12.100000       0.35417752        1.7171033        2.6775358        4.3946391        1.0000000
  12.150000       0.38145701        1.6567588        2.7475782        4.4043370        1.0000000
  12.200000       0.39863660        1.5932995        2.8298252        4.4231247        1.0000000
  12.250000       0.40542452        1.5283887        2.9197881        4.4481768        1.0000000
  12.300000       0.40179882        1.4637030        3.0126385        4.4763414        1.0000000
  12.350000       0.38800405        1.4008883        3.1034666        4.5043550        1.0000000
  12.400000       0.36454110        1.3415193        3.1875409        4.5290602        1.0000000
  12.450000       0.33215062        1.2870589        3.2605537        4.5476126        1.0000000
  12.500000       0.29179051        1.2388233        3.3188413        4.5576646        1.0000000
  12.550000       0.24460819        1.1979502        3.3595670        4.5575172        1.0000000
  12.600000       0.19190841        1.1653719        3.3808580        4.5462299        1.0000000
  12.650000       0.13511748        1.1417952        3.3818892        4.5236845        1.0000000
  12.700000       0.75744884E-01    1.1276861        3.3629110        4.4905971        1.0000000
  12.750000       0.15343431E-01    1.1232614        3.3252200        4.4484814        1.0000000
  12.800000      -0.44531224E-01    1.1284875        3.2710751        4.3995625        1.0000000
  12.850000      -0.10236045        1.1430844        3.2035642        4.3466486        1.0000000
  12.900000      -0.15670098        1.1665370        3.1264296        4.2929666        1.0000000
  12.950000      -0.20622075        1.1981118        3.0438613        4.2419731        1.0000000
  13.000000      -0.24973129        1.2368789        2.9602702        4.1971490        1.0000000
  13.050000      -0.28621599        1.2817388        2.8800527        4.1617914        1.0000000
  13.100000      -0.31485349        1.3314534        2.8073604        4.1388138        1.0000000
  13.150000      -0.33503567        1.3846798        2.7458856        4.1305655        1.0000000
  13.200000      -0.34637997        1.4400062        2.6986747        4.1386809        1.0000000
  13.250000      -0.34873564        1.4959891        2.6679780        4.1639671        1.0000000
  13.300000      -0.34218397        1.5511909        2.6551441        4.2063350        1.0000000
  13.350000      -0.32703261        1.6042166        2.6605635        4.2647801        1.0000000
  13.400000      -0.30380407        1.6537489        2.6836627        4.3374116        1.0000000
