# data from ifeffit
#------------------------
#   k         chi       chi       chix
  10.550000      -0.50588925       0.36663373       0.86074448
  10.600000      -0.50849776       0.43908475       0.93058699
  10.650000      -0.48442673       0.48516259        1.0007359
  10.700000      -0.43527677       0.50252702        1.0672503
  10.750000      -0.36394528       0.49053556        1.1265903
  10.800000      -0.27445772       0.45025933        1.1758016
  10.850000      -0.17174145       0.38439883        1.2126574
  10.900000      -0.61355222E-01   0.29710606        1.2357508
  10.950000       0.50811292E-01   0.19372432        1.2445356
  11.000000       0.15885136       0.80462142E-01    1.2393135
  11.050000       0.25715197      -0.35978996E-01    1.2211730
  11.100000       0.34068504      -0.14880075        1.1918843
  11.150000       0.40526410      -0.25150446        1.1537596
  11.200000       0.44775326      -0.33826506        1.1094882
  11.250000       0.46621814      -0.40426081        1.0619573
  11.300000       0.46001157      -0.44594029        1.0140713
  11.350000       0.42979042      -0.46121191       0.96857850
  11.400000       0.37746359      -0.44954594       0.92791765
  11.450000       0.30607479      -0.41198419       0.89409060
  11.500000       0.21962719      -0.35105824       0.86856896
  11.550000       0.12286002      -0.27062199       0.85223803
  11.600000       0.20989348E-01  -0.17560957       0.84537978
  11.650000      -0.80572506E-01  -0.71733713E-01   0.84769378
  11.700000      -0.17650419       0.34857049E-01   0.85835286
  11.750000      -0.26185369       0.13794181       0.87608812
  11.800000      -0.33229347       0.23158987       0.89929640
  11.850000      -0.38433917       0.31050145       0.92616228
  11.900000      -0.41552092       0.37030685       0.95478593
  11.950000      -0.42449885       0.40780737       0.98330852
  12.000000      -0.41111753       0.42114465        1.0100271
  12.050000      -0.37639737       0.40988970        1.0334923
  12.100000      -0.32246420       0.37504743        1.0525832
  12.150000      -0.25242183       0.31897776        1.0665559
  12.200000      -0.17017484       0.24523900        1.0750642
  12.250000      -0.80211916E-01   0.15836380        1.0781519
  12.300000       0.12638451E-01   0.63581593E-01    1.0762200
  12.350000       0.10346662      -0.33495389E-01    1.0699712
  12.400000       0.18754094      -0.12720385        1.0603371
  12.450000       0.26055371      -0.21215925        1.0483945
  12.500000       0.31884128      -0.28356461        1.0352767
  12.550000       0.35956700      -0.33748054        1.0220865
  12.600000       0.38085801      -0.37104144        1.0098166
  12.650000       0.38188922      -0.38260597       0.99928324
  12.700000       0.36291102      -0.37183415       0.99107687
  12.750000       0.32522001      -0.33968754       0.98553247
  12.800000       0.27107507      -0.28835379       0.98272129
  12.850000       0.20356418      -0.22110096       0.98246322
  12.900000       0.12642960      -0.14207125       0.98435834
  12.950000       0.43861325E-01  -0.56027062E-01   0.98783426
  13.000000      -0.39729826E-01   0.31935229E-01   0.99220540
  13.050000      -0.11994732       0.11668642       0.99673910
  13.100000      -0.19263960       0.19336298        1.0007234
  13.150000      -0.25411435       0.25764544        1.0035311
  13.200000      -0.30132527       0.30600087        1.0046756
  13.250000      -0.33202200       0.33587585        1.0038538
  13.300000      -0.34485588       0.34582937        1.0009735
  13.350000      -0.33943653       0.33559915       0.99616262
  13.400000      -0.31633732       0.30609820       0.98976088
  13.450000      -0.27704993       0.25934319       0.98229325
  13.500000      -0.22389146       0.19831978       0.97442832
  13.550000      -0.15986955       0.12679376       0.96692421
  13.600000      -0.88513396E-01   0.49079831E-01   0.96056643
  13.650000      -0.13680045E-01  -0.30217829E-01   0.95610213
  13.700000       0.60653439E-01  -0.10647760       0.95417584
  13.750000       0.13060075      -0.17532911       0.95527164
  13.800000       0.19256894      -0.23290298       0.95966596
  13.850000       0.24344228      -0.27604735       0.96739492
  13.900000       0.28073804      -0.30249915       0.97823889
