# data from ifeffit
#------------------------
#   r         chirx0      chirx2      chirx4      chirx6
  8.9891274       0.16734898E-01   0.76788711        1.5098186        2.2661393
  9.0198070       0.13988301E-01   0.76588999        1.5110144        2.2648798
  9.0504866       0.11201718E-01   0.76338308        1.5127124        2.2640708
  9.0811663       0.93132293E-02   0.76091933        1.5145369        2.2637363
  9.1118459       0.93951545E-02   0.75943891        1.5162967        2.2638141
  9.1425255       0.11383167E-01   0.75990981        1.5179001        2.2641800
  9.1732051       0.14228699E-01   0.76216047        1.5192990        2.2646924
  9.2038847       0.17149270E-01   0.76522199        1.5204622        2.2652277
  9.2345643       0.19760627E-01   0.76837280        1.5213637        2.2656939
  9.2652440       0.21889489E-01   0.77122080        1.5219802        2.2660310
  9.2959236       0.23470222E-01   0.77355383        1.5222915        2.2662056
  9.3266032       0.24496272E-01   0.77525934        1.5222836        2.2662045
  9.3572828       0.24993460E-01   0.77628903        1.5219513        2.2660297
  9.3879624       0.25003411E-01   0.77664110        1.5213000        2.2656944
  9.4186420       0.24573445E-01   0.77634928        1.5203475        2.2652199
  9.4493217       0.23751380E-01   0.77547435        1.5191231        2.2646336
  9.4800013       0.22583891E-01   0.77409641        1.5176664        2.2639667
  9.5106809       0.21116682E-01   0.77230708        1.5160238        2.2632530
  9.5413605       0.19394660E-01   0.77020135        1.5142445        2.2625267
  9.5720401       0.17460841E-01   0.76786928        1.5123751        2.2618215
  9.6027197       0.15353976E-01   0.76538899        1.5104546        2.2611681
  9.6333993       0.13106990E-01   0.76282382        1.5085112        2.2605934
  9.6640790       0.10751758E-01   0.76022988        1.5065649        2.2601193
  9.6947586       0.83439220E-02   0.75769142        1.5046442        2.2597618
  9.7254382       0.60543331E-02   0.75544795        1.5028693        2.2595314
  9.7561178       0.44891438E-02   0.75427939        1.5019348        2.2594337
  9.7867974       0.49062742E-02   0.75524025        1.5030012        2.2594690
  9.8174770       0.72182647E-02   0.75769243        1.5049931        2.2596322
  9.8481567       0.10311446E-01   0.76067953        1.5072104        2.2599123
  9.8788363       0.13624917E-01   0.76378527        1.5094725        2.2602912
  9.9095159       0.16868324E-01   0.76677870        1.5116777        2.2607439
  9.9401955       0.19820361E-01   0.76947574        1.5137354        2.2612393
  9.9708751       0.22287032E-01   0.77171265        1.5155587        2.2617423
