# data from ifeffit
#------------------------
#   k         chik      win_h0      win_h2      win_h4      win_h6
  8.6500000       0.28835050        1.0000000        1.0000000        1.0000000        1.0000000
  8.7000000       0.16639340        1.0000000        1.0000000        1.0000000        1.0000000
  8.7500000       0.25963959E-01    1.0000000        1.0000000        1.0000000        1.0000000
  8.8000000      -0.13927806        1.0000000        1.0000000        1.0000000        1.0000000
  8.8500000      -0.26955266        1.0000000        1.0000000        1.0000000        1.0000000
  8.9000000      -0.33872682        1.0000000        1.0000000        1.0000000        1.0000000
  8.9500000      -0.37765823        1.0000000        1.0000000        1.0000000        1.0000000
  9.0000000      -0.37597261        1.0000000        1.0000000        1.0000000        1.0000000
  9.0500000      -0.16343316        1.0000000        1.0000000        1.0000000        1.0000000
  9.1000000      -0.18867731        1.0000000        1.0000000        1.0000000        1.0000000
  9.1500000      -0.29160491        1.0000000        1.0000000        1.0000000        1.0000000
  9.2000000      -0.23245288        1.0000000        1.0000000        1.0000000        1.0000000
  9.2500000      -0.16346258        1.0000000        1.0000000        1.0000000        1.0000000
  9.3000000      -0.80265653E-01    1.0000000        1.0000000        1.0000000        1.0000000
  9.3500000       0.18563204E-01    1.0000000        1.0000000        1.0000000        1.0000000
  9.4000000       0.12393033        1.0000000        1.0000000        1.0000000        1.0000000
  9.4500000       0.22845403        1.0000000        1.0000000        1.0000000        1.0000000
  9.5000000       0.30795569        1.0000000        1.0000000        1.0000000        1.0000000
  9.5500000       0.35890387        1.0000000        1.0000000        1.0000000        1.0000000
  9.6000000       0.37948614        1.0000000        1.0000000        1.0000000        1.0000000
  9.6500000       0.37641562        1.0000000        1.0000000        1.0000000        1.0000000
  9.7000000       0.35699886        1.0000000        1.0000000        1.0000000        1.0000000
  9.7500000       0.27825088        1.0000000        1.0000000        1.0000000        1.0000000
  9.8000000       0.15688385        1.0000000        1.0000000        1.0000000        1.0000000
  9.8500000       0.38510518E-01    1.0000000        1.0000000        1.0000000        1.0000000
  9.9000000      -0.78689728E-01    1.0000000        1.0000000        1.0000000        1.0000000
  9.9500000      -0.15481087        1.0000000        1.0000000        1.0000000        1.0000000
  10.000000      -0.19514877        1.0000000        1.0000000        1.0000000        1.0000000
  10.050000      -0.20717612        1.0000000        1.0000000        1.0000000        1.0000000
  10.100000      -0.18220782        1.0000000        1.0000000        1.0000000        1.0000000
  10.150000      -0.16358766        1.0000000        1.0000000        1.0000000        1.0000000
  10.200000      -0.14832222        1.0000000        1.0000000        1.0000000        1.0000000
  10.250000      -0.13108710        1.0000000        1.0000000        1.0000000        1.0000000
  10.300000      -0.12935025        1.0000000        1.0000000        1.0000000        1.0000000
  10.350000      -0.12422553        1.0000000        1.0000000        1.0000000        1.0000000
  10.400000      -0.11394617        1.0000000        1.0000000        1.0000000        1.0000000
  10.450000      -0.97189393E-01    1.0000000        1.0000000        1.0000000        1.0000000
  10.500000      -0.60935131E-01    1.0000000        1.0000000        1.0000000       1.00000000
  10.550000      -0.96239597E-01    1.0000000        1.0000000        1.0000000       0.99982866
  10.600000      -0.10257565        1.0000000        1.0000000        1.0000000       0.99931476
  10.650000       0.68595652E-01    1.0000000        1.0000000        1.0000000       0.99845865
  10.700000       0.91265755E-01    1.0000000        1.0000000        1.0000000       0.99726093
  10.750000       0.13988626        1.0000000        1.0000000        1.0000000       0.99572241
  10.800000       0.18483347        1.0000000        1.0000000        1.0000000       0.99384414
  10.850000       0.18157286        1.0000000        1.0000000        1.0000000       0.99162742
  10.900000       0.15832962        1.0000000        1.0000000        1.0000000       0.98907376
  10.950000       0.12570437        1.0000000        1.0000000        1.0000000       0.98618492
  11.000000       0.90884368E-01    1.0000000        1.0000000        1.0000000       0.98296287
  11.050000       0.54178691E-01    1.0000000        1.0000000        1.0000000       0.97940982
  11.100000       0.18178063E-01    1.0000000        1.0000000        1.0000000       0.97552821
  11.150000       0.67955030E-02    1.0000000        1.0000000        1.0000000       0.97132069
  11.200000      -0.59579493E-02    1.0000000        1.0000000        1.0000000       0.96679016
  11.250000      -0.42606699E-01    1.0000000        1.0000000        1.0000000       0.96193970
  11.300000      -0.60309051E-01    1.0000000        1.0000000        1.0000000       0.95677266
  11.350000      -0.73022548E-01    1.0000000        1.0000000        1.0000000       0.95129257
  11.400000      -0.88874563E-01    1.0000000        1.0000000        1.0000000       0.94550319
  11.450000      -0.82757836E-01    1.0000000        1.0000000        1.0000000       0.93940848
  11.500000      -0.76708971E-01    1.0000000        1.0000000       1.00000000       0.93301263
  11.550000      -0.79508590E-01    1.0000000        1.0000000       0.99961451       0.92632000
  11.600000      -0.61214699E-01    1.0000000        1.0000000       0.99845865       0.91933520
  11.650000      -0.49866191E-01    1.0000000        1.0000000       0.99653420       0.91206301
  11.700000      -0.57481951E-01    1.0000000        1.0000000       0.99384413       0.90450841
  11.750000       0.13892901E-01    1.0000000        1.0000000       0.99039259       0.89667658
  11.800000       0.26550468E-01    1.0000000        1.0000000       0.98618490       0.88857289
  11.850000       0.48534195E-01    1.0000000        1.0000000       0.98122755       0.88020289
  11.900000       0.76915874E-01    1.0000000        1.0000000       0.97552818       0.87157232
  11.950000       0.70504519E-01    1.0000000        1.0000000       0.96909558       0.86268709
  12.000000       0.45748843E-01    1.0000000        1.0000000       0.96193967       0.85355329
  12.050000       0.43999401E-01    1.0000000        1.0000000       0.95407149       0.84417719
  12.100000       0.36703391E-01    1.0000000        1.0000000       0.94550316       0.83456520
  12.150000       0.31355807E-01    1.0000000        1.0000000       0.93624789       0.82472392
  12.200000       0.10791578E-01    1.0000000        1.0000000       0.92631996       0.81466009
  12.250000      -0.33867148E-02    1.0000000        1.0000000       0.91573468       0.80438061
  12.300000      -0.47903157E-03    1.0000000        1.0000000       0.90450837       0.79389252
  12.350000      -0.12858783E-01    1.0000000        1.0000000       0.89265833       0.78320301
  12.400000      -0.36592448E-01    1.0000000        1.0000000       0.88020284       0.77231941
  12.450000      -0.42584782E-01    1.0000000        1.0000000       0.86716111       0.76124918
  12.500000      -0.32217917E-01    1.0000000       1.00000000       0.85355324       0.74999989
  12.550000      -0.27864344E-01    1.0000000       0.99845862       0.83940022       0.73857927
  12.600000      -0.37120917E-01    1.0000000       0.99384409       0.82472387       0.72699514
  12.650000      -0.41026237E-01    1.0000000       0.98618484       0.80954682       0.71525544
  12.700000      -0.32387366E-01    1.0000000       0.97552811       0.79389247       0.70336822
  12.750000      -0.20305488E-01    1.0000000       0.96193958       0.77778496       0.69134161
  12.800000       0.12937201E-01    1.0000000       0.94550305       0.76124912       0.67918387
  12.850000       0.52356489E-01    1.0000000       0.92631985       0.74431046       0.66690332
  12.900000       0.56827507E-01    1.0000000       0.90450824       0.72699509       0.65450839
  12.950000       0.56151085E-01    1.0000000       0.88020271       0.70932971       0.64200757
  13.000000       0.52032928E-01    1.0000000       0.85355310       0.69134156       0.62940942
  13.050000       0.46921287E-01    1.0000000       0.82472372       0.67305837       0.61672258
  13.100000       0.31038824E-01    1.0000000       0.79389231       0.65450834       0.60395574
  13.150000       0.27575863E-01    1.0000000       0.76124897       0.63572007       0.59111766
  13.200000       0.19702204E-01    1.0000000       0.72699493       0.61672253       0.57821713
  13.250000       0.10487193E-01    1.0000000       0.69134140       0.59754501       0.56526300
  13.300000       0.70193118E-02    1.0000000       0.65450818       0.57821708       0.55226413
  13.350000       0.12581416E-01    1.0000000       0.61672237       0.55876855       0.53922945
  13.400000       0.50000707E-02    1.0000000       0.57821693       0.53922940       0.52616788
  13.450000       0.84534517E-03    1.0000000       0.53922926       0.51962977       0.51308838
  13.500000      -0.32048814E-01    0.0000000       0.49999973       0.49999986       0.49999991
  13.550000      -0.34972452E-01    0.0000000       0.46077019       0.48036996       0.48691144
  13.600000      -0.22077432E-01    0.0000000       0.42178252       0.46077032       0.47383193
  13.650000      -0.28797829E-01    0.0000000       0.38327709       0.44123118       0.46077037
  13.700000      -0.35654064E-01    0.0000000       0.34549129       0.42178265       0.44773568
  13.750000      -0.17775377E-01    0.0000000       0.30865809       0.40245472       0.43473682
  13.800000      -0.27743958E-01    0.0000000       0.27300458       0.38327720       0.42178269
  13.850000      -0.36473128E-01    0.0000000       0.23875057       0.36427967       0.40888216
  13.900000      -0.30443423E-01    0.0000000       0.20610724       0.34549140       0.39604408
  13.950000      -0.20818897E-01    0.0000000       0.17527586       0.32694137       0.38327724
  14.000000       0.22854039E-02    0.0000000       0.14644651       0.30865819       0.37059040
  14.050000       0.25493520E-02    0.0000000       0.11979694       0.29067004       0.35799226
  14.100000      -0.27723943E-01    0.0000000       0.95491438E-01   0.27300466       0.34549143
  14.150000      -0.21144367E-01    0.0000000       0.73679868E-01   0.25568930       0.33309650
  14.200000      -0.51059374E-02    0.0000000       0.54496700E-01   0.23875064       0.32081596
  14.250000      -0.13386461E-01    0.0000000       0.38060207E-01   0.22221481       0.30865822
  14.300000      -0.35988099E-01    0.0000000       0.24471725E-01   0.20610731       0.29663162
  14.350000      -0.27348059E-01    0.0000000       0.13815030E-01   0.19045296       0.28474439
  14.400000      -0.18343176E-01    0.0000000       0.61558254E-02   0.17527592       0.27300469
  14.450000      -0.41838160E-02    0.0000000       0.15413321E-02   0.16059957       0.26142056
  14.500000       0.37064401E-02    0.0000000        0.0000000       0.14644656       0.24999995
  14.550000      -0.22857388E-01    0.0000000        0.0000000       0.13283870       0.23875067
  14.600000      -0.11027845E-01    0.0000000        0.0000000       0.11979698       0.22768043
  14.650000       0.14131797E-02    0.0000000        0.0000000       0.10734150       0.21679683
  14.700000       0.44440832E-02    0.0000000        0.0000000       0.95491470E-01   0.20610733
  14.750000       0.95437102E-01    0.0000000        0.0000000       0.84265165E-01   0.19561924
  14.800000       0.60048605E-01    0.0000000        0.0000000       0.73679893E-01   0.18533976
  14.850000       0.19833514E-01    0.0000000        0.0000000       0.63751975E-01   0.17527594
  14.900000       0.37709204E-01    0.0000000        0.0000000       0.54496719E-01   0.16543466
