# data from ifeffit
#------------------------
#   r         chirr     chirr     chirr
  8.8357293       0.49503960E-02    39.994439        80.000564
  8.8664090       0.52894013E-02    39.998786        80.003567
  8.8970886       0.14407011E-02    40.004422        80.002744
  8.9277682      -0.33113717E-02    40.006350        79.999797
  8.9584478      -0.49052048E-02    40.002966        79.997809
  8.9891274      -0.21790998E-02    39.997464        79.997984
  9.0198070       0.21812989E-02    39.994778        79.999025
  9.0504866       0.42174412E-02    39.997048        79.999282
  9.0811663       0.22791792E-02    40.001889        79.998841
  9.1118459      -0.17065892E-02    40.004874        79.999127
  9.1425255      -0.42551419E-02    40.003661        80.000710
  9.1732051      -0.35136178E-02    39.999817        80.002132
  9.2038847      -0.63192407E-03    39.996925        80.001384
  9.2345643       0.16877396E-02    39.997136        79.998479
  9.2652440       0.17632657E-02    39.999532        79.996064
  9.2959236       0.13969620E-03    40.001553        79.996986
  9.3266032      -0.14068364E-02    40.001640        80.001140
  9.3572828      -0.17113849E-02    40.000384        80.005036
  9.3879624      -0.10123775E-02    39.999358        80.004917
  9.4186420      -0.20403414E-03    39.999263        80.000540
  9.4493217       0.29151417E-03    39.999472        79.995749
  9.4800013       0.72089280E-03    39.999210        79.995022
  9.5106809       0.12571183E-02    39.998752        79.999198
  9.5413605       0.14567575E-02    39.999109        80.004550
  9.5720401       0.73635679E-03    40.000577        80.006214
  9.6027197      -0.66282275E-03    40.001962        80.002711
  9.6333993      -0.15054003E-02    40.001629        79.997265
  9.6640790      -0.67055807E-03    39.999394        79.994705
  9.6947586       0.15011765E-02    39.997145        79.997004
  9.7254382       0.31703714E-02    39.997219        80.001683
  9.7561178       0.25963188E-02    40.000003        80.004385
  9.7867974      -0.71846660E-04    40.003224        80.002955
  9.8174770      -0.26686195E-02    40.003908        79.999119
  9.8481567      -0.28861599E-02    40.001240        79.996449
  9.8788363      -0.46579224E-03    39.997515        79.996919
  9.9095159       0.24299467E-02    39.996122        79.999423
  9.9401955       0.31308105E-02    39.998379        80.001354
  9.9708751       0.91269659E-03    40.002265        80.001285
