# Results of near edge peak fit to "AII_45"
# Titles from AII_45
# .  Merge in e space of:
# .  ** T:/xas_user/June2011/Gaetani/DT_Corrected/Fe_xanes_AII_45.001c
# .  ** T:/xas_user/June2011/Gaetani/DT_Corrected/Fe_xanes_AII_45.002c
# .  ** T:/xas_user/June2011/Gaetani/DT_Corrected/Fe_xanes_AII_45.003c
# .
# Fitting range = [-10:2] (relative to centroid of step function)
# .
# Fit included 60 data points and 3 variables
# R-factor = 0.00122, chi-square = 0.00193, reduced chi-square = 0.0000332
# .
# function       centroid             amplitude        width
# ============================================================
# atan            7117.50(    1.12)  0.507( 0.071)  1.164( 0.038)
# gauss           7111.40(    0.00)  0.057( 0.000)  0.882( 0.000)
# gauss           7113.20(    0.00)  0.177( 0.000)  0.898( 0.000)
# .
# .
# The Gaussians and Lorentzians are unit normalized,
# so the amplitudes are the areas.
# Formulas:
# -  arctangent:       A*[atan((e-E0)/W)/pi + 0.5]
# -  error function:   A*[erf((e-E0)/W) + 1]
# -  Gaussian:         [A/(W*sqrt(2pi))] * exp[-(e-E0)^2/(2W^2)]
# -  Lorentzian:       (AW/2pi) / [(e-E0)^2 + (W/2)^2]
#------------------------
#   ee        norm       fun          step          peak1          peak2          resid
  7130.2000        1.1487000       0.49127105       0.49127105       0.56649282E-99   0.11861160E-78   0.65742894
  7130.4000        1.1498609       0.49151624       0.49151624       0.43946061E-99   0.17071134E-80   0.65834470
  7130.6000        1.1507052       0.49175372       0.49175372       0.32382812E-99   0.23380581E-82   0.65895148
  7130.8000        1.1492565       0.49198386       0.49198386       0.22666174E-99   0.30472351E-84   0.65727269
  7131.0000        1.1487450       0.49220698       0.49220698       0.15069919E-99   0.37793259E-86   0.65653807
  7131.2000        1.1486775       0.49242340       0.49242340       0.95172766E-99   0.44604683E-88   0.65625405
  7131.4000        1.1491279       0.49263342       0.49263342       0.57093085E-99   0.50096142E-90   0.65649447
  7131.6000        1.1497640       0.49283731       0.49283731       0.32532945E-99   0.53540920E-92   0.65692665
  7131.8000        1.1470264       0.49303535       0.49303535       0.17608903E-99   0.54453412E-94   0.65399108
  7132.0000        1.1500711       0.49322777       0.49322777       0.90533702E-99   0.52701393E-96   0.65684332
  7132.2000        1.1445548       0.49341482       0.49341482       0.44213746E-99   0.48537433E-98   0.65113994
  7132.4000        1.1442087       0.49359671       0.49359671       0.20510365E-99   0.42539192E-99   0.65061194
  7132.6000        1.1426792       0.49377366       0.49377366       0.90377127E-99   0.35478022E-99   0.64890559
  7132.8000        1.1417900       0.49394586       0.49394586       0.37827943E-99   0.28157058E-99   0.64784414
  7133.0000        1.1427332       0.49411350       0.49411350       0.15039589E-99   0.21265367E-99   0.64861969
  7133.2000        1.1412247       0.49427676       0.49427676       0.56797375E-99   0.15283267E-99   0.64694791
  7133.4000        1.1407977       0.49443581       0.49443581       0.20374625E-99   0.10452430E-99   0.64636184
  7133.6000        1.1390324       0.49459081       0.49459081       0.69425660E-99   0.68026169E-99   0.64444161
  7133.8000        1.1397892       0.49474191       0.49474191       0.22470849E-99   0.42130101E-99   0.64504729
  7134.0000        1.1387290       0.49488926       0.49488926       0.69085672E-99   0.24829428E-99   0.64383975
  7134.2000        1.1395661       0.49503300       0.49503300       0.20175558E-99   0.13925110E-99   0.64453307
  7134.4000        1.1385377       0.49517325       0.49517325       0.55967018E-99   0.74317022E-99   0.64336448
  7134.6000        1.1370839       0.49531014       0.49531014       0.14747141E-99   0.37742936E-99   0.64177373
  7134.8000        1.1372514       0.49544379       0.49544379       0.36910724E-99   0.18240670E-99   0.64180759
  7135.0000        1.1369974       0.49557431       0.49557431       0.87753884E-99   0.83888725E-99   0.64142312
  7135.2000        1.1356158       0.49570182       0.49570182       0.19817514E-99   0.36713360E-99   0.63991394
  7135.4000        1.1372748       0.49582641       0.49582641       0.42510975E-99   0.15289821E-99   0.64144835
