# Results of near edge peak fit to "AII_45"
# Titles from AII_45
# .  Merge in e space of:
# .  ** T:/xas_user/June2011/Gaetani/DT_Corrected/Fe_xanes_AII_45.001c
# .  ** T:/xas_user/June2011/Gaetani/DT_Corrected/Fe_xanes_AII_45.002c
# .  ** T:/xas_user/June2011/Gaetani/DT_Corrected/Fe_xanes_AII_45.003c
# .
# Fitting range = [-9:1] (relative to centroid of step function)
# .
# Fit included 50 data points and 5 variables
# R-factor = 0.00019, chi-square = 0.00016, reduced chi-square = 0.0000035
# .
# function       centroid             amplitude        width
# ============================================================
# atan            7117.50(    0.61)  0.471( 0.036)  1.258( 0.019)
# gauss           7113.25(    0.00)  0.144( 0.002)  0.750( 0.000)
# gauss           7111.50(    0.00)  0.057( 0.002)  0.750( 0.000)
# .
# .
# The Gaussians and Lorentzians are unit normalized,
# so the amplitudes are the areas.
# Formulas:
# -  arctangent:       A*[atan((e-E0)/W)/pi + 0.5]
# -  error function:   A*[erf((e-E0)/W) + 1]
# -  Gaussian:         [A/(W*sqrt(2pi))] * exp[-(e-E0)^2/(2W^2)]
# -  Lorentzian:       (AW/2pi) / [(e-E0)^2 + (W/2)^2]
#------------------------
#   ee        norm       fun          step          peak1          peak2          resid
  7122.2000       0.68122371       0.42924849       0.42924849       0.91274998E-32   0.19191448E-45   0.25197522
  7122.4000       0.70017982       0.43100647       0.43100647       0.36550111E-33   0.41249332E-47   0.26917335
  7122.6000       0.72538723       0.43262682       0.43262682       0.13631461E-34   0.82573929E-49   0.29276041
  7122.8000       0.74435767       0.43412474       0.43412474       0.47349233E-36   0.15395217E-50   0.31023292
  7123.0000       0.76465552       0.43551335       0.43551335       0.15317939E-37   0.26732865E-52   0.32914217
  7123.2000       0.78530694       0.43680396       0.43680396       0.46153489E-39   0.43233665E-54   0.34850297
  7123.4000       0.80629531       0.43800644       0.43800644       0.12951665E-40   0.65120155E-56   0.36828887
  7123.6000       0.82597711       0.43912936       0.43912936       0.33850374E-42   0.91353593E-58   0.38684776
  7123.8000       0.84616749       0.44018026       0.44018026       0.82398290E-44   0.11935832E-59   0.40598724
  7124.0000       0.86441436       0.44116575       0.44116575       0.18680554E-45   0.14524345E-61   0.42324861
  7124.2000       0.88200315       0.44209169       0.44209169       0.39443747E-47   0.16461041E-63   0.43991146
  7124.4000       0.90003029       0.44296324       0.44296324       0.77568144E-49   0.17375401E-65   0.45706706
  7124.6000       0.91459405       0.44378501       0.44378501       0.14207101E-50   0.17081627E-67   0.47080904
  7124.8000       0.93089213       0.44456110       0.44456110       0.24235076E-52   0.15640134E-69   0.48633104
  7125.0000       0.94649105       0.44529517       0.44529517       0.38503493E-54   0.13337319E-71   0.50119588
  7125.2000       0.96229641       0.44599052       0.44599052       0.56973475E-56   0.10592865E-73   0.51630589
  7125.4000       0.97672888       0.44665011       0.44665011       0.78516716E-58   0.78356528E-76   0.53007877
  7125.6000       0.98877187       0.44727659       0.44727659       0.10077861E-59   0.53982596E-78   0.54149528
  7125.8000        1.0015697       0.44787239       0.44787239       0.12047349E-61   0.34637711E-80   0.55369734
  7126.0000        1.0143853       0.44843968       0.44843968       0.13413169E-63   0.20699575E-82   0.56594559
  7126.2000        1.0262268       0.44898044       0.44898044       0.13908752E-65   0.11521009E-84   0.57724637
  7126.4000        1.0363288       0.44949649       0.44949649       0.13432652E-67   0.59722290E-87   0.58683226
  7126.6000        1.0491232       0.44998947       0.44998947       0.12082372E-69   0.28833623E-89   0.59913374
  7126.8000        1.0592348       0.45046087       0.45046087       0.10121841E-71   0.12965188E-91   0.60877394
  7127.0000        1.0670917       0.45091209       0.45091209       0.78973905E-74   0.54296927E-94   0.61617959
  7127.2000        1.0772212       0.45134437       0.45134437       0.57388459E-76   0.21178175E-96   0.62587680
  7127.4000        1.0866319       0.45175888       0.45175888       0.38840280E-78   0.76934057E-99   0.63487298
  7127.6000        1.0952335       0.45215670       0.45215670       0.24482568E-80   0.26029485E-101   0.64307683
  7127.8000        1.1028974       0.45253879       0.45253879       0.14373034E-82   0.82021813E-104   0.65035856
  7128.0000        1.1092180       0.45290607       0.45290607       0.78588091E-85   0.24071879E-106   0.65631189
  7128.2000        1.1151696       0.45325939       0.45325939       0.40020441E-87   0.65797205E-109   0.66191024
  7128.4000        1.1206822       0.45359951       0.45359951       0.18981208E-89   0.16750267E-111   0.66708267
  7128.6000        1.1263972       0.45392717       0.45392717       0.83846059E-92   0.39714845E-114   0.67247000
  7128.8000        1.1339141       0.45424302       0.45424302       0.34495171E-94   0.87700252E-117   0.67967112
  7129.0000        1.1357975       0.45454771       0.45454771       0.13217545E-96   0.18037056E-119   0.68124977
  7129.2000        1.1400335       0.45484179       0.45484179       0.47169373E-99   0.34549939E-122   0.68519174
  7129.4000        1.1414305       0.45512583       0.45512583       0.15677841E-101   0.61637606E-125   0.68630466
  7129.6000        1.1423149       0.45540031       0.45540031       0.48532119E-104   0.10241441E-127   0.68691459
  7129.8000        1.1476886       0.45566572       0.45566572       0.13992299E-106   0.15848685E-130   0.69202290
  7130.0000        1.1486229       0.45592250       0.45592250       0.37572124E-109   0.22842426E-133   0.69270044
