# data from ifeffit
# kmin =    2.5000000     
# kmax =    13.000000     
# dk1 =    1.5000000     
# dk2 =    1.5000000     
# kweight =    2.0000000     
# rmin =   0.90000000     
# rmax =    2.0000000     
# dr1 =   0.20000000     
# dr2 =   0.20000000     
#------------------------
#   q         chiq_re      chiq_im      chik_win
  11.250000       0.71205764E-02   0.37464406E-02  -0.42606699E-01
  11.300000       0.60315946E-02   0.54425917E-02  -0.60309051E-01
  11.350000       0.46340746E-02   0.68525614E-02  -0.73022548E-01
  11.400000       0.29949380E-02   0.79285655E-02  -0.88874563E-01
  11.450000       0.11873129E-02   0.86371752E-02  -0.82757836E-01
  11.500000      -0.71235201E-03   0.89598826E-02  -0.76708971E-01
  11.550000      -0.26271627E-02   0.88931164E-02  -0.79508590E-01
  11.600000      -0.44825438E-02   0.84477303E-02  -0.61214699E-01
  11.650000      -0.62087987E-02   0.76480056E-02  -0.49866191E-01
  11.700000      -0.77433861E-02   0.65302243E-02  -0.57481951E-01
  11.750000      -0.90328448E-02   0.51408823E-02   0.13892901E-01
  11.800000      -0.10034314E-01   0.35346190E-02   0.26550468E-01
  11.850000      -0.10716616E-01   0.17719516E-02   0.48534195E-01
  11.900000      -0.11060876E-01  -0.83099758E-04   0.76915874E-01
  11.950000      -0.11060690E-01  -0.19654078E-02   0.70504519E-01
  12.000000      -0.10721837E-01  -0.38110679E-02   0.45748843E-01
  12.050000      -0.10061580E-01  -0.55595843E-02   0.43999401E-01
  12.100000      -0.91075971E-02  -0.71558416E-02   0.36703391E-01
  12.150000      -0.78965877E-02  -0.85518005E-02   0.31355807E-01
  12.200000      -0.64726236E-02  -0.97078720E-02   0.10791578E-01
  12.250000      -0.48853167E-02  -0.10593934E-01  -0.33867148E-02
  12.300000      -0.31878702E-02  -0.11189970E-01  -0.47771944E-03
  12.350000      -0.14350918E-02  -0.11486326E-01  -0.12718284E-01
  12.400000       0.31856106E-03  -0.11483595E-01  -0.35696959E-01
  12.450000       0.20208366E-02  -0.11192140E-01  -0.40743947E-01
  12.500000       0.36233815E-02  -0.10631301E-01  -0.30059716E-01
  12.550000       0.50832204E-02  -0.98283233E-02  -0.25203526E-01
  12.600000       0.63639776E-02  -0.88170565E-02  -0.32353553E-01
  12.650000       0.74368109E-02  -0.76364787E-02  -0.34239058E-01
  12.700000       0.82810352E-02  -0.63291135E-02  -0.25712077E-01
  12.750000       0.88844300E-02  -0.49393946E-02  -0.15229108E-01
  12.800000       0.92432322E-02  -0.35120419E-02   0.90996119E-02
  12.850000       0.93618313E-02  -0.20905053E-02   0.34267745E-01
  12.900000       0.92521884E-02  -0.71552997E-03   0.34321282E-01
  12.950000       0.89330163E-02   0.57611251E-03   0.31010214E-01
  13.000000       0.84287579E-02   0.17526874E-02   0.26016445E-01
  13.050000       0.77684116E-02   0.27883271E-02   0.21008322E-01
  13.100000       0.69842516E-02   0.36636088E-02   0.12292735E-01
  13.150000       0.61104955E-02   0.43658699E-02   0.95272186E-02
  13.200000       0.51819697E-02   0.48892632E-02   0.58442929E-02
  13.250000       0.42328208E-02   0.52345601E-02   0.26217961E-02
  13.300000       0.32953187E-02   0.54087233E-02   0.14467307E-02
  13.350000       0.23987914E-02   0.54242729E-02   0.20814009E-02
  13.400000       0.15687226E-02   0.52984807E-02   0.64214644E-03
  13.450000       0.82604046E-03   0.50524297E-02   0.80723208E-04
  13.500000       0.18661282E-03   0.47099799E-02  -0.21468615E-02
  13.550000      -0.33904078E-03   0.42966833E-02  -0.15117623E-02
  13.600000      -0.74581976E-03   0.38386908E-02  -0.54027272E-03
  13.650000      -0.10339032E-02   0.33616929E-02  -0.31465053E-03
  13.700000      -0.12084153E-02   0.28899313E-02  -0.97658254E-04
  13.750000      -0.12789171E-02   0.24453162E-02    0.0000000
  13.800000      -0.12587510E-02   0.20466787E-02    0.0000000
  13.850000      -0.11642702E-02   0.17091787E-02    0.0000000
  13.900000      -0.10139864E-02   0.14438866E-02    0.0000000
  13.950000      -0.82767330E-03   0.12575448E-02    0.0000000
  14.000000      -0.62545980E-03   0.11525132E-02    0.0000000
  14.050000      -0.42695086E-03   0.11268906E-02    0.0000000
  14.100000      -0.25040666E-03   0.11748020E-02    0.0000000
  14.150000      -0.11201043E-03   0.12868332E-02    0.0000000
  14.200000      -0.25249508E-04   0.14505909E-02    0.0000000
  14.250000      -0.42935307E-06   0.16513604E-02    0.0000000
  14.300000      -0.44334382E-04   0.18728337E-02    0.0000000
  14.350000      -0.16004347E-03   0.20978753E-02    0.0000000
  14.400000      -0.34690184E-03   0.23092962E-02    0.0000000
  14.450000      -0.60064499E-03   0.24906040E-02    0.0000000
  14.500000      -0.91366481E-03   0.26267030E-02    0.0000000
  14.550000      -0.12754028E-02   0.27045158E-02    0.0000000
  14.600000      -0.16728514E-02   0.27135080E-02    0.0000000
  14.650000      -0.20911398E-02   0.26460955E-02    0.0000000
  14.700000      -0.25141804E-02   0.24979247E-02    0.0000000
  14.750000      -0.29253476E-02   0.22680161E-02    0.0000000
  14.800000      -0.33081625E-02   0.19587723E-02    0.0000000
  14.850000      -0.36469574E-02   0.15758509E-02    0.0000000
  14.900000      -0.39274935E-02   0.11279132E-02    0.0000000
  14.950000      -0.41375112E-02   0.62626022E-03    0.0000000
  15.000000      -0.42671922E-02   0.84373839E-04    0.0000000
  15.050000      -0.43095183E-02  -0.48261812E-03    0.0000000
  15.100000      -0.42605159E-02  -0.10585293E-02    0.0000000
  15.150000      -0.41193798E-02  -0.16267321E-02    0.0000000
  15.200000      -0.38884742E-02  -0.21707798E-02    0.0000000
  15.250000      -0.35732133E-02  -0.26750110E-02    0.0000000
  15.300000      -0.31818302E-02  -0.31251123E-02    0.0000000
  15.350000      -0.27250437E-02  -0.35086206E-02    0.0000000
  15.400000      -0.22156392E-02  -0.38153463E-02    0.0000000
  15.450000      -0.16679807E-02  -0.40377039E-02    0.0000000
  15.500000      -0.10974739E-02  -0.41709394E-02    0.0000000
  15.550000      -0.52000196E-03  -0.42132487E-02    0.0000000
  15.600000       0.48644877E-04  -0.41657845E-02    0.0000000
  15.650000       0.59332419E-03  -0.40325540E-02    0.0000000
  15.700000       0.11000601E-02  -0.38202147E-02    0.0000000
  15.750000       0.15565080E-02  -0.35377767E-02    0.0000000
  15.800000       0.19523480E-02  -0.31962253E-02    0.0000000
