# data from ifeffit
#------------------------
#   energy      xmu       bkg       preline      normline
  7166.5673        1.1753118        1.1589386      -0.18338914        1.1906921
  7168.1256        1.2199916        1.1581334      -0.18428167        1.1888392
  7169.6520        1.2569450        1.1572807      -0.18515587        1.1870263
  7171.0481        1.2828485        1.1564500      -0.18595548        1.1853699
  7172.5757        1.2985035        1.1554906      -0.18683042        1.1835594
  7174.1587        1.3049304        1.1544466      -0.18773702        1.1816856
  7175.6768        1.3015198        1.1534032      -0.18860649        1.1798905
  7177.2065        1.2871232        1.1523157      -0.18948261        1.1780837
  7178.9337        1.2605068        1.1510512      -0.19047184        1.1760461
  7180.5524        1.2322326        1.1498376      -0.19139890        1.1741389
  7182.1171        1.2065797        1.1486446      -0.19229507        1.1722974
  7183.6825        1.1838061        1.1474373      -0.19319164        1.1704573
  7185.4567        1.1639835        1.1460568      -0.19420782        1.1683742
  7187.2319        1.1441377        1.1446629      -0.19522453        1.1662927
  7188.9312        1.1256682        1.1433168      -0.19619779        1.1643028
  7190.5875        1.1096090        1.1419940      -0.19714640        1.1623657
  7192.3105        1.0955437        1.1406067      -0.19813319        1.1603532
  7194.1551        1.0865875        1.1391089      -0.19918966        1.1582014
  7196.0336        1.0848043        1.1375704      -0.20026557        1.1560131
  7197.8472        1.0896318        1.1360727      -0.20130429        1.1539033
  7199.5848        1.0976847        1.1346265      -0.20229945        1.1518847
  7201.3452        1.1061971        1.1331502      -0.20330772        1.1498422
  7203.3158        1.1127269        1.1314847      -0.20443632        1.1475591
  7205.3535        1.1137379        1.1297482      -0.20560344        1.1452016
  7207.2492        1.1113734        1.1281200      -0.20668915        1.1430118
  7209.1459        1.1091910        1.1264788      -0.20777547        1.1408240
  7211.1209        1.1094735        1.1247572      -0.20890662        1.1385491
  7213.0750        1.1128175        1.1230414      -0.21002577        1.1363017
  7215.0412        1.1197526        1.1213025      -0.21115188        1.1340437
  7217.0748        1.1290785        1.1194913      -0.21231662        1.1317118
  7219.0322        1.1381600        1.1177360      -0.21343769        1.1294707
  7221.2010        1.1431486        1.1157776      -0.21467985        1.1269914
  7223.3269        1.1401358        1.1138444      -0.21589740        1.1245653
  7225.4540        1.1303143        1.1118971      -0.21711571        1.1221415
  7227.5271        1.1164000        1.1099869      -0.21830300        1.1197832
  7229.6901        1.0995240        1.1079812      -0.21954185        1.1173266
  7231.9100        1.0815925        1.1059096      -0.22081326        1.1148095
  7234.0757        1.0654326        1.1038759      -0.22205366        1.1123580
  7236.2428        1.0548029        1.1018290      -0.22329484        1.1099091
  7238.4892        1.0525590        1.0996947      -0.22458139        1.1073749
  7240.7815        1.0627457        1.0975041      -0.22589428        1.1047934
  7243.0196        1.0736859        1.0953533      -0.22717613        1.1022773
  7245.2257        1.0889298        1.0932218      -0.22843966        1.0998014
  7247.5225        1.1001406        1.0909912      -0.22975508        1.0972284
  7249.8877        1.1054398        1.0886822      -0.23110973        1.0945834
  7252.2322        1.1045125        1.0863817      -0.23245251        1.0919664
  7254.4441        1.1010799        1.0842011      -0.23371938        1.0895017
  7256.8923        1.0972424        1.0817763      -0.23512155        1.0867788
  7259.2080        1.0958877        1.0794723      -0.23644780        1.0842081
  7261.6595        1.0970404        1.0770225      -0.23785189        1.0814916
  7263.9447        1.0995099        1.0747294      -0.23916070        1.0789641
  7266.3884        1.1014074        1.0722675      -0.24056027        1.0762664
  7268.9011        1.1022522        1.0697260      -0.24199939        1.0734979
  7271.3707        1.1011670        1.0672187      -0.24341381        1.0707822
  7273.9207        1.0968847        1.0646203      -0.24487429        1.0679837
  7276.5063        1.0896655        1.0619764      -0.24635515        1.0651519
  7279.0825        1.0796905        1.0593333      -0.24783067        1.0623361
  7281.4918        1.0677709        1.0568542      -0.24921052        1.0597081
  7284.1280        1.0535296        1.0541336      -0.25072041        1.0568382
  7286.6761        1.0388369        1.0514969      -0.25217976        1.0540701
  7289.1808        1.0252689        1.0488986      -0.25361432        1.0513546
  7291.9020        1.0125549        1.0460691      -0.25517282        1.0484106
  7294.6478        1.0049324        1.0432075      -0.25674547        1.0454464
  7297.3619        1.0017291        1.0403733      -0.25829992        1.0425229
  7299.8969        1.0020062        1.0377214      -0.25975182        1.0397981
  7302.5698        1.0061912        1.0349210      -0.26128264        1.0369313
  7305.3240        1.0118459        1.0320313      -0.26286009        1.0339836
  7308.1031        1.0176879        1.0291120      -0.26445177        1.0310161
  7310.9298        1.0233727        1.0261396      -0.26607072        1.0280045
  7313.6451        1.0270807        1.0232822      -0.26762589        1.0251182
  7316.3398        1.0289684        1.0204449      -0.26916922        1.0222602
  7319.1731        1.0292163        1.0174606      -0.27079197        1.0192619
  7322.1113        1.0282723        1.0143655      -0.27247476        1.0161600
  7325.0177        1.0262630        1.0113041      -0.27413935        1.0130991
  7327.7096        1.0234467        1.0084695      -0.27568115        1.0102705
  7330.5978        1.0195606        1.0054299      -0.27733531        1.0072428
  7333.6712        1.0146257        1.0021980      -0.27909557        1.0040289
  7336.4156        1.0094656       0.99931523      -0.28066736        1.0011660
  7339.2995        1.0037065       0.99628961      -0.28231905       0.99816467
  7342.4034       0.99705389       0.99303821      -0.28409679       0.99494237
  7345.3151       0.99097685       0.98999375      -0.28576442       0.99192725
  7348.2866       0.98544173       0.98689311      -0.28746630       0.98885783
  7351.3295       0.98071048       0.98372540      -0.28920908       0.98572258
  7354.3750       0.97719849       0.98056332      -0.29095337       0.98259270
  7357.4117       0.97406777       0.97741965      -0.29269256       0.97947998
  7360.4970       0.97046026       0.97423581      -0.29445964       0.97632557
  7363.5965       0.96636350       0.97104857      -0.29623485       0.97316497
  7366.7103       0.96222490       0.96785875      -0.29801823       0.96999825
  7369.8730       0.95827779       0.96463125      -0.29982964       0.96679041
  7372.9923       0.95487866       0.96146028      -0.30161617       0.96363511
  7376.1260       0.95285110       0.95828689      -0.30341091       0.96047386
  7379.4708       0.95062008       0.95491296      -0.30532660       0.95710899
  7382.5638       0.94927795       0.95180523      -0.30709807       0.95400610
  7385.6710       0.94801126       0.94869483      -0.30887772       0.95089725
  7389.1177       0.94779582       0.94525832      -0.31085176       0.94745865
  7392.2540       0.94684064       0.94214369      -0.31264800       0.94433873
  7395.5907       0.94532043       0.93884280      -0.31455908       0.94102874
  7398.9190       0.94316632       0.93556344      -0.31646529       0.93773685
  7402.0639       0.94014833       0.93247668      -0.31826649       0.93463514
  7405.5498       0.93564333       0.92906866      -0.32026301       0.93120715
  7408.7473       0.93086403       0.92595503      -0.32209431       0.92807213
  7412.2865       0.92480535       0.92252230      -0.32412134       0.92461239
  7415.6187       0.91896879       0.91930343      -0.32602980       0.92136500
  7419.0125       0.91265522       0.91603792      -0.32797356       0.91806745
  7422.4095       0.90751806       0.91278226      -0.32991918       0.91477681
  7425.9271       0.90324828       0.90942463      -0.33193383       0.91137997
  7429.3308       0.89957219       0.90618880      -0.33388321       0.90810343
  7432.8317       0.89699559       0.90287375      -0.33588830       0.90474376
  7436.3831       0.89824340       0.89952453      -0.33792231       0.90134653
  7439.7731       0.89159965       0.89634017      -0.33986390       0.89811389
  7443.4493       0.88850519       0.89290094      -0.34196938       0.89461969
  7446.9286       0.88637570       0.88965908      -0.34396211       0.89132342
  7450.5530       0.88420350       0.88629556      -0.34603796       0.88790086
  7454.1930       0.88242614       0.88293146      -0.34812269       0.88447517
  7457.6709       0.88077435       0.87972990      -0.35011462       0.88121272
  7461.4010       0.87910604       0.87631000      -0.35225098       0.87772542
  7464.9808       0.87727888       0.87304120      -0.35430125       0.87439001
  7468.7422       0.87478784       0.86962044      -0.35645556       0.87089738
  7472.3293       0.87206987       0.86637137      -0.35851002       0.86757808
  7476.0152       0.86870247       0.86304612      -0.36062104       0.86417906
  7479.6095       0.86531624       0.85981622      -0.36267966       0.86087580
  7483.6128       0.86097783       0.85623366      -0.36497246       0.85720999
  7487.2267       0.85599830       0.85301276      -0.36704226       0.85391270
  7491.0472       0.85092077       0.84962115      -0.36923044       0.85043917
  7494.8121       0.84579705       0.84629247      -0.37138669       0.84702874
  7498.5090       0.84120159       0.84303668      -0.37350405       0.84369181
  7502.5692       0.83695836       0.83947549      -0.37582948       0.84004067
  7506.2501       0.83334431       0.83626001      -0.37793766       0.83674304
  7510.1629       0.83024094       0.83285536      -0.38017866       0.83325056
  7514.0679       0.82719979       0.82947112      -0.38241520       0.82977830
  7517.8207       0.82412557       0.82623152      -0.38456455       0.82645391
  7521.9388       0.82091666       0.82269072      -0.38692312       0.82282001
  7525.8082       0.81767503       0.81937703      -0.38913931       0.81941892
  7529.6456       0.81443478       0.81610346      -0.39133712       0.81605889
  7533.6442       0.81121444       0.81270560      -0.39362725       0.81257136
  7537.6835       0.80791344       0.80928670      -0.39594069       0.80906244
  7541.5698       0.80507014       0.80600997      -0.39816652       0.80569981
  7545.7513       0.80179132       0.80249809      -0.40056141       0.80209643
  7549.7434       0.79719131       0.79915843      -0.40284781       0.79867050
  7553.5818       0.79649304       0.79595921      -0.40504622       0.79538946
  7557.8501       0.79338765       0.79241525      -0.40749085       0.79175601
  7561.9286       0.79049100       0.78904213      -0.40982672       0.78829901
  7565.8652       0.78791632       0.78579831      -0.41208139       0.78497591
  7570.2090       0.78442432       0.78223255      -0.41456923       0.78132477
  7574.3257       0.78082115       0.77886612      -0.41692702       0.77787964
  7578.4593       0.77708513       0.77549837      -0.41929448       0.77443522
  7582.4629       0.77342945       0.77224834      -0.42158745       0.77111335
  7586.9000       0.76942229       0.76865962      -0.42412877       0.76744797
  7591.0724       0.76559302       0.76529761      -0.42651845       0.76401691
  7595.2004       0.76206300       0.76198320      -0.42888270       0.76063728
  7599.5177       0.75857783       0.75852922      -0.43135534       0.75711855
  7603.8154       0.75473164       0.75510326      -0.43381678       0.75363187
  7608.1551       0.75102640       0.75165610      -0.43630231       0.75012737
  7612.2900       0.74767593       0.74838297      -0.43867053       0.74680351
  7616.5903       0.74405090       0.74499046      -0.44113347       0.74336247
  7621.0319       0.74058790       0.74149869      -0.44367729       0.73982532
  7625.4540       0.73722601       0.73803423      -0.44620999       0.73632069
  7629.7573       0.73385699       0.73467414      -0.44867467       0.73292651
  7634.1030       0.73050291       0.73129215      -0.45116357       0.72951531
  7638.5657       0.72746300       0.72783047      -0.45371953       0.72602930
  7643.1085       0.72352726       0.72431830      -0.45632138       0.72249849
  7647.6819       0.72084728       0.72079416      -0.45894072       0.71896207
  7652.1861       0.71756152       0.71733457      -0.46152041       0.71549697
  7656.7082       0.71426100       0.71387208      -0.46411041       0.71203578
  7661.1733       0.71117742       0.71046379      -0.46666774       0.70863569
  7665.9195       0.70759944       0.70685217      -0.46938605       0.70504058
  7670.5338       0.70381014       0.70335186      -0.47202880       0.70156419
  7675.2543       0.70021824       0.69978203      -0.47473241       0.69802690
  7679.8676       0.69665624       0.69630407      -0.47737463       0.69458866
  7684.6000       0.69306768       0.69274737      -0.48008506       0.69108090
  7689.2502       0.68939640       0.68926334      -0.48274839       0.68765305
  7693.9694       0.68570744       0.68573862      -0.48545122       0.68419360
  7698.8083       0.68213617       0.68213588      -0.48822266       0.68066646
