# data from ifeffit
#------------------------
#   r         chir_mag      chir_mag      chir_real      chir_real
  6.1666028       0.14456373       0.26607496E-02   -1.1215565       -1.0014602
  6.1972824       0.14778970       0.25847502E-02   -1.1453422       -1.0001361
  6.2279620       0.14618779       0.22676378E-02   -1.1426784      -0.99895348
  6.2586416       0.13960548       0.17417302E-02   -1.1128067      -0.99849139
  6.2893212       0.12829932       0.10881290E-02   -1.0641862      -0.99892930
  6.3200008       0.11287747       0.59127018E-03   -1.0114444      -0.99995692
  6.3506805       0.94231934E-01   0.95097317E-03  -0.96975851       -1.0009459
  6.3813601       0.73462338E-01   0.16378120E-02  -0.94918076       -1.0012894
  6.4120397       0.51803333E-01   0.22449320E-02  -0.95134486       -1.0007280
  6.4427193       0.30617744E-01   0.26662240E-02  -0.96979595      -0.99948816
  6.4733989       0.12189569E-01   0.28530046E-02  -0.99349511      -0.99816158
  6.5040785       0.11693629E-01   0.27902573E-02   -1.0116874      -0.99739217
  6.5347582       0.24946420E-01   0.24936298E-02   -1.0179060      -0.99753715
  6.5654378       0.36195835E-01   0.20085030E-02   -1.0115331      -0.99848270
  6.5961174       0.44294985E-01   0.14144191E-02  -0.99665178      -0.99970990
  6.6267970       0.49402682E-01   0.86872735E-03  -0.97920122       -1.0005736
  6.6574766       0.52117023E-01   0.76095290E-03  -0.96408174       -1.0006442
  6.6881562       0.53301682E-01   0.11567499E-02  -0.95359430      -0.99993165
  6.7188359       0.53893369E-01   0.16072999E-02  -0.94767766      -0.99887227
  6.7495155       0.54638348E-01   0.19409001E-02  -0.94537027      -0.99809026
  6.7801951       0.55845371E-01   0.21124822E-02  -0.94633389      -0.99806063
  6.8108747       0.57316501E-01   0.21221061E-02  -0.95140863      -0.99885434
  6.8415543       0.58509820E-01   0.19988183E-02  -0.96188924       -1.0001003
  6.8722339       0.58803659E-01   0.17943645E-02  -0.97806897       -1.0011826
  6.9029135       0.57707924E-01   0.15772953E-02  -0.99808708       -1.0015673
  6.9335932       0.54971456E-01   0.14204327E-02   -1.0179600       -1.0010849
  6.9642728       0.50607616E-01   0.13715720E-02   -1.0329733       -1.0000183
  6.9949524       0.44873659E-01   0.14239165E-02   -1.0397720      -0.99895313
  7.0256320       0.38234048E-01   0.15323745E-02   -1.0380001      -0.99846928
  7.0563116       0.31340946E-01   0.16552660E-02   -1.0305053      -0.99883801
  7.0869912       0.25083387E-01   0.17693909E-02   -1.0218726      -0.99988405
  7.1176709       0.20728199E-01   0.18616384E-02   -1.0159800       -1.0010829
  7.1483505       0.19737677E-01   0.19175321E-02   -1.0138693       -1.0018390
  7.1790301       0.22490977E-01   0.19163953E-02   -1.0131401       -1.0017971
  7.2097097       0.27885615E-01   0.18343623E-02   -1.0093154       -1.0010207
  7.2403893       0.34787307E-01   0.16522222E-02  -0.99857752      -0.99994734
  7.2710689       0.42531572E-01   0.13652461E-02  -0.98047683      -0.99914714
  7.3017486       0.50653419E-01   0.99817240E-03  -0.95912383      -0.99901576
  7.3324282       0.58680703E-01   0.65808607E-03  -0.94206284      -0.99956589
  7.3631078       0.66076729E-01   0.66546545E-03  -0.93717513       -1.0004272
  7.3937874       0.72264973E-01   0.10638050E-02  -0.94899451       -1.0010522
  7.4244670       0.76687073E-01   0.15381492E-02  -0.97620322       -1.0010170
  7.4551466       0.78867153E-01   0.19466007E-02   -1.0115930       -1.0002541
  7.4858262       0.78468331E-01   0.22225392E-02   -1.0446405      -0.99909445
  7.5165059       0.75334167E-01   0.23289893E-02   -1.0656085      -0.99809641
  7.5471855       0.69511533E-01   0.22536851E-02   -1.0693494      -0.99775223
  7.5778651       0.61253929E-01   0.20109456E-02   -1.0571205      -0.99822904
  7.6085447       0.51006451E-01   0.16467624E-02   -1.0356522      -0.99928028
  7.6392243       0.39376686E-01   0.12543838E-02   -1.0139891       -1.0003737
  7.6699039       0.27104737E-01   0.10091448E-02  -0.99961743       -1.0009670
  7.7005836       0.15104003E-01   0.10858713E-02  -0.99564285       -1.0007858
  7.7312632       0.56507195E-02   0.13730883E-02   -1.0001853      -0.99995761
  7.7619428       0.90844559E-02   0.16573102E-02   -1.0080415      -0.99893500
  7.7926224       0.16625356E-01   0.18238890E-02   -1.0135982      -0.99825092
  7.8233020       0.22420824E-01   0.18250899E-02   -1.0134825      -0.99823847
  7.8539816       0.25958725E-01   0.16519579E-02   -1.0077130      -0.99886330
  7.8846612       0.27303936E-01   0.13253113E-02  -0.99899273      -0.99975500
  7.9153409       0.26842479E-01   0.89728978E-03  -0.99076514       -1.0004171
  7.9460205       0.25254208E-01   0.50053356E-03  -0.98523333       -1.0005002
  7.9767001       0.23470057E-01   0.54411924E-03  -0.98244190      -0.99999085
  8.0073797       0.22468698E-01   0.94834040E-03  -0.98082687      -0.99921533
  8.0380593       0.22796215E-01   0.13442547E-02  -0.97876344      -0.99865828
  8.0687389       0.24185931E-01   0.16354723E-02  -0.97606933      -0.99869455
  8.0994186       0.25837568E-01   0.17927002E-02  -0.97446848      -0.99937978
  8.1300982       0.26976267E-01   0.18160324E-02  -0.97665047       -1.0004127
  8.1607778       0.27142429E-01   0.17291785E-02  -0.98442032       -1.0012903
  8.1914574       0.26254905E-01   0.15762580E-02  -0.99703175       -1.0015728
  8.2221370       0.24610530E-01   0.14157025E-02   -1.0107862       -1.0011187
  8.2528166       0.22855024E-01   0.13046466E-02   -1.0203380       -1.0001627
  8.2834963       0.21826640E-01   0.12705056E-02   -1.0212037      -0.99919603
